ClassName,ID,a,b,c,d,f,g,h,i,j,k
PCA5336,R5.9.0(1),PCA5336,R5.9.0(1),PCA5336,R5.9.0(1),PCA5336,R5.9.0(1),PCA5336,R5.9.0(1),PCA5336,R5.9.0(1)
PCA5336,R5.9.0(6),PCA5336,R5.9.0(6),PCA5336,R5.9.0(6),PCA5336,R5.9.0(6),PCA5336,R5.9.0(6),PCA5336,R5.9.0(6)
PCA5336,R6.3.0(8),PCA5336,R6.3.0(8),PCA5336,R6.3.0(8),PCA5336,R6.3.0(8),PCA5336,R6.3.0(8),PCA5336,R6.3.0(8)
PCA5337,R6.1.0(1),PCA5337,R6.1.0(1),PCA5337,R6.1.0(1),PCA5337,R6.1.0(1),PCA5337,R6.1.0(1),PCA5337,R6.1.0(1)
PCA5337,R6.5.0(1),PCA5337,R6.5.0(1),PCA5337,R6.5.0(1),PCA5337,R6.5.0(1),PCA5337,R6.5.0(1),PCA5337,R6.5.0(1)
PCA5337,R5.7.0(5),PCA5337,R5.7.0(5),PCA5337,R5.7.0(5),PCA5337,R5.7.0(5),PCA5337,R5.7.0(5),PCA5337,R5.7.0(5)
PCA5343,R5.5.0(9),PCA5343,R5.5.0(9),PCA5343,R5.5.0(9),PCA5343,R5.5.0(9),PCA5343,R5.5.0(9),PCA5343,R5.5.0(9)
PCA5346,R6.2.0(8),PCA5346,R6.2.0(8),PCA5346,R6.2.0(8),PCA5346,R6.2.0(8),PCA5346,R6.2.0(8),PCA5346,R6.2.0(8)
PCA5352,R7.1.0(3),PCA5352,R7.1.0(3),PCA5352,R7.1.0(3),PCA5352,R7.1.0(3),PCA5352,R7.1.0(3),PCA5352,R7.1.0(3)
PCA5352,R7.1.0(3),PCA5352,R7.1.0(3),PCA5352,R7.1.0(3),PCA5352,R7.1.0(3),PCA5352,R7.1.0(3),PCA5352,R7.1.0(3)
PCA5352,R5.1.0(1),PCA5352,R5.1.0(1),PCA5352,R5.1.0(1),PCA5352,R5.1.0(1),PCA5352,R5.1.0(1),PCA5352,R5.1.0(1)
PCA5353,R4.1.0(2),PCA5353,R4.1.0(2),PCA5353,R4.1.0(2),PCA5353,R4.1.0(2),PCA5353,R4.1.0(2),PCA5353,R4.1.0(2)
PCA5353,R5.4.4(3),PCA5353,R5.4.4(3),PCA5353,R5.4.4(3),PCA5353,R5.4.4(3),PCA5353,R5.4.4(3),PCA5353,R5.4.4(3)
PCA5353,R5.8.0(1),PCA5353,R5.8.0(1),PCA5353,R5.8.0(1),PCA5353,R5.8.0(1),PCA5353,R5.8.0(1),PCA5353,R5.8.0(1)
PCA5354,R5.7.0(1),PCA5354,R5.7.0(1),PCA5354,R5.7.0(1),PCA5354,R5.7.0(1),PCA5354,R5.7.0(1),PCA5354,R5.7.0(1)
PCA5354,R6.3.0(1),PCA5354,R6.3.0(1),PCA5354,R6.3.0(1),PCA5354,R6.3.0(1),PCA5354,R6.3.0(1),PCA5354,R6.3.0(1)
PCA5354,R6.4.0(7),PCA5354,R6.4.0(7),PCA5354,R6.4.0(7),PCA5354,R6.4.0(7),PCA5354,R6.4.0(7),PCA5354,R6.4.0(7)
PCA5356,R6.2.0(1),PCA5356,R6.2.0(1),PCA5356,R6.2.0(1),PCA5356,R6.2.0(1),PCA5356,R6.2.0(1),PCA5356,R6.2.0(1)
PCA5357,R7.1.0(3),PCA5357,R7.1.0(3),PCA5357,R7.1.0(3),PCA5357,R7.1.0(3),PCA5357,R7.1.0(3),PCA5357,R7.1.0(3)
PCA5360,R6.3.0(9),PCA5360,R6.3.0(9),PCA5360,R6.3.0(9),PCA5360,R6.3.0(9),PCA5360,R6.3.0(9),PCA5360,R6.3.0(9)
PCA5361,R5.4.4(3),PCA5361,R5.4.4(3),PCA5361,R5.4.4(3),PCA5361,R5.4.4(3),PCA5361,R5.4.4(3),PCA5361,R5.4.4(3)
PCA5371,R6.3.0(1),PCA5371,R6.3.0(1),PCA5371,R6.3.0(1),PCA5371,R6.3.0(1),PCA5371,R6.3.0(1),PCA5371,R6.3.0(1)
PCA5371,R6.4.0(6),PCA5371,R6.4.0(6),PCA5371,R6.4.0(6),PCA5371,R6.4.0(6),PCA5371,R6.4.0(6),PCA5371,R6.4.0(6)
PCA5371,R6.2.0(8),PCA5371,R6.2.0(8),PCA5371,R6.2.0(8),PCA5371,R6.2.0(8),PCA5371,R6.2.0(8),PCA5371,R6.2.0(8)
PCA5377,R5.6.0(1),PCA5377,R5.6.0(1),PCA5377,R5.6.0(1),PCA5377,R5.6.0(1),PCA5377,R5.6.0(1),PCA5377,R5.6.0(1)
PCA5377,R6.3.0(8),PCA5377,R6.3.0(8),PCA5377,R6.3.0(8),PCA5377,R6.3.0(8),PCA5377,R6.3.0(8),PCA5377,R6.3.0(8)
PCA5377,R5.8.0(1),PCA5377,R5.8.0(1),PCA5377,R5.8.0(1),PCA5377,R5.8.0(1),PCA5377,R5.8.0(1),PCA5377,R5.8.0(1)
PCA5378,R5.5.0(9),PCA5378,R5.5.0(9),PCA5378,R5.5.0(9),PCA5378,R5.5.0(9),PCA5378,R5.5.0(9),PCA5378,R5.5.0(9)
PCA5380,R6.2.0(8),PCA5380,R6.2.0(8),PCA5380,R6.2.0(8),PCA5380,R6.2.0(8),PCA5380,R6.2.0(8),PCA5380,R6.2.0(8)
PCA5384,R5.1.0(1),PCA5384,R5.1.0(1),PCA5384,R5.1.0(1),PCA5384,R5.1.0(1),PCA5384,R5.1.0(1),PCA5384,R5.1.0(1)
PCA5387,R5.6.0(1),PCA5387,R5.6.0(1),PCA5387,R5.6.0(1),PCA5387,R5.6.0(1),PCA5387,R5.6.0(1),PCA5387,R5.6.0(1)
PCA5387,R6.4.0(1),PCA5387,R6.4.0(1),PCA5387,R6.4.0(1),PCA5387,R6.4.0(1),PCA5387,R6.4.0(1),PCA5387,R6.4.0(1)
PCA5387,R7.1.0(3),PCA5387,R7.1.0(3),PCA5387,R7.1.0(3),PCA5387,R7.1.0(3),PCA5387,R7.1.0(3),PCA5387,R7.1.0(3)
PCA5390,R6.3.0(8),PCA5390,R6.3.0(8),PCA5390,R6.3.0(8),PCA5390,R6.3.0(8),PCA5390,R6.3.0(8),PCA5390,R6.3.0(8)
PCA5390,R5.4.4(3),PCA5390,R5.4.4(3),PCA5390,R5.4.4(3),PCA5390,R5.4.4(3),PCA5390,R5.4.4(3),PCA5390,R5.4.4(3)
PCA5390,R6.1.0(1),PCA5390,R6.1.0(1),PCA5390,R6.1.0(1),PCA5390,R6.1.0(1),PCA5390,R6.1.0(1),PCA5390,R6.1.0(1)
PCA5391,R6.3.0(9),PCA5391,R6.3.0(9),PCA5391,R6.3.0(9),PCA5391,R6.3.0(9),PCA5391,R6.3.0(9),PCA5391,R6.3.0(9)
PCA5393,R6.2.0(8),PCA5393,R6.2.0(8),PCA5393,R6.2.0(8),PCA5393,R6.2.0(8),PCA5393,R6.2.0(8),PCA5393,R6.2.0(8)
PCA5398,R5.5.0(9),PCA5398,R5.5.0(9),PCA5398,R5.5.0(9),PCA5398,R5.5.0(9),PCA5398,R5.5.0(9),PCA5398,R5.5.0(9)
PCA5399,R5.7.0(5),PCA5399,R5.7.0(5),PCA5399,R5.7.0(5),PCA5399,R5.7.0(5),PCA5399,R5.7.0(5),PCA5399,R5.7.0(5)
PCA5403,R7.3.0(4),PCA5403,R7.3.0(4),PCA5403,R7.3.0(4),PCA5403,R7.3.0(4),PCA5403,R7.3.0(4),PCA5403,R7.3.0(4)
PCA5404,R5.1.0(1),PCA5404,R5.1.0(1),PCA5404,R5.1.0(1),PCA5404,R5.1.0(1),PCA5404,R5.1.0(1),PCA5404,R5.1.0(1)
PCA5408,R5.5.0(1),PCA5408,R5.5.0(1),PCA5408,R5.5.0(1),PCA5408,R5.5.0(1),PCA5408,R5.5.0(1),PCA5408,R5.5.0(1)
PCA5408,R6.3.0(9),PCA5408,R6.3.0(9),PCA5408,R6.3.0(9),PCA5408,R6.3.0(9),PCA5408,R6.3.0(9),PCA5408,R6.3.0(9)
PCA5408,R5.1.0(1),PCA5408,R5.1.0(1),PCA5408,R5.1.0(1),PCA5408,R5.1.0(1),PCA5408,R5.1.0(1),PCA5408,R5.1.0(1)
PCA5411,R7.3.0(4),PCA5411,R7.3.0(4),PCA5411,R7.3.0(4),PCA5411,R7.3.0(4),PCA5411,R7.3.0(4),PCA5411,R7.3.0(4)
PCA5411,R6.5.0(1),PCA5411,R6.5.0(1),PCA5411,R6.5.0(1),PCA5411,R6.5.0(1),PCA5411,R6.5.0(1),PCA5411,R6.5.0(1)
PCA5411,R6.5.0(1),PCA5411,R6.5.0(1),PCA5411,R6.5.0(1),PCA5411,R6.5.0(1),PCA5411,R6.5.0(1),PCA5411,R6.5.0(1)
PCA5412,R5.5.0(9),PCA5412,R5.5.0(9),PCA5412,R5.5.0(9),PCA5412,R5.5.0(9),PCA5412,R5.5.0(9),PCA5412,R5.5.0(9)
PCA5412,R5.5.0(1),PCA5412,R5.5.0(1),PCA5412,R5.5.0(1),PCA5412,R5.5.0(1),PCA5412,R5.5.0(1),PCA5412,R5.5.0(1)
PCA5412,R5.5.0(1),PCA5412,R5.5.0(1),PCA5412,R5.5.0(1),PCA5412,R5.5.0(1),PCA5412,R5.5.0(1),PCA5412,R5.5.0(1)
PCA5413,R6.4.0(7),PCA5413,R6.4.0(7),PCA5413,R6.4.0(7),PCA5413,R6.4.0(7),PCA5413,R6.4.0(7),PCA5413,R6.4.0(7)
PCA5413,R6.1.0(1),PCA5413,R6.1.0(1),PCA5413,R6.1.0(1),PCA5413,R6.1.0(1),PCA5413,R6.1.0(1),PCA5413,R6.1.0(1)
PCA5413,R6.1.0(1),PCA5413,R6.1.0(1),PCA5413,R6.1.0(1),PCA5413,R6.1.0(1),PCA5413,R6.1.0(1),PCA5413,R6.1.0(1)
PCA5414,R7.3.0(4),PCA5414,R7.3.0(4),PCA5414,R7.3.0(4),PCA5414,R7.3.0(4),PCA5414,R7.3.0(4),PCA5414,R7.3.0(4)
PCA5416,R4.1.0(1),PCA5416,R4.1.0(1),PCA5416,R4.1.0(1),PCA5416,R4.1.0(1),PCA5416,R4.1.0(1),PCA5416,R4.1.0(1)
PCA5417,R6.3.0(1),PCA5417,R6.3.0(1),PCA5417,R6.3.0(1),PCA5417,R6.3.0(1),PCA5417,R6.3.0(1),PCA5417,R6.3.0(1)
PCA5421,R5.8.0(9),PCA5421,R5.8.0(9),PCA5421,R5.8.0(9),PCA5421,R5.8.0(9),PCA5421,R5.8.0(9),PCA5421,R5.8.0(9)
PCA5423,R7.3.0(4),PCA5423,R7.3.0(4),PCA5423,R7.3.0(4),PCA5423,R7.3.0(4),PCA5423,R7.3.0(4),PCA5423,R7.3.0(4)
PCA5423,R6.4.0(7),PCA5423,R6.4.0(7),PCA5423,R6.4.0(7),PCA5423,R6.4.0(7),PCA5423,R6.4.0(7),PCA5423,R6.4.0(7)
PCA5423,R7.3.0(4),PCA5423,R7.3.0(4),PCA5423,R7.3.0(4),PCA5423,R7.3.0(4),PCA5423,R7.3.0(4),PCA5423,R7.3.0(4)
PCA5425,R6.4.0(7),PCA5425,R6.4.0(7),PCA5425,R6.4.0(7),PCA5425,R6.4.0(7),PCA5425,R6.4.0(7),PCA5425,R6.4.0(7)
PCA5426,R6.2.0(1),PCA5426,R6.2.0(1),PCA5426,R6.2.0(1),PCA5426,R6.2.0(1),PCA5426,R6.2.0(1),PCA5426,R6.2.0(1)
PCA5427,R4.1.0(1),PCA5427,R4.1.0(1),PCA5427,R4.1.0(1),PCA5427,R4.1.0(1),PCA5427,R4.1.0(1),PCA5427,R4.1.0(1)
PCA5427,R5.9.0(6),PCA5427,R5.9.0(6),PCA5427,R5.9.0(6),PCA5427,R5.9.0(6),PCA5427,R5.9.0(6),PCA5427,R5.9.0(6)
PCA5427,R6.1.0(1),PCA5427,R6.1.0(1),PCA5427,R6.1.0(1),PCA5427,R6.1.0(1),PCA5427,R6.1.0(1),PCA5427,R6.1.0(1)
PCA5428,R5.6.0(1),PCA5428,R5.6.0(1),PCA5428,R5.6.0(1),PCA5428,R5.6.0(1),PCA5428,R5.6.0(1),PCA5428,R5.6.0(1)
PCA5431,R5.8.0(1),PCA5431,R5.8.0(1),PCA5431,R5.8.0(1),PCA5431,R5.8.0(1),PCA5431,R5.8.0(1),PCA5431,R5.8.0(1)
PCA5431,R5.4.4(3),PCA5431,R5.4.4(3),PCA5431,R5.4.4(3),PCA5431,R5.4.4(3),PCA5431,R5.4.4(3),PCA5431,R5.4.4(3)
PCA5431,R5.9.0(6),PCA5431,R5.9.0(6),PCA5431,R5.9.0(6),PCA5431,R5.9.0(6),PCA5431,R5.9.0(6),PCA5431,R5.9.0(6)
PCA5434,R4.1.0(1),PCA5434,R4.1.0(1),PCA5434,R4.1.0(1),PCA5434,R4.1.0(1),PCA5434,R4.1.0(1),PCA5434,R4.1.0(1)
PCA5435,R5.8.0(9),PCA5435,R5.8.0(9),PCA5435,R5.8.0(9),PCA5435,R5.8.0(9),PCA5435,R5.8.0(9),PCA5435,R5.8.0(9)
PCA5435,R6.3.0(8),PCA5435,R6.3.0(8),PCA5435,R6.3.0(8),PCA5435,R6.3.0(8),PCA5435,R6.3.0(8),PCA5435,R6.3.0(8)
PCA5435,R5.9.0(6),PCA5435,R5.9.0(6),PCA5435,R5.9.0(6),PCA5435,R5.9.0(6),PCA5435,R5.9.0(6),PCA5435,R5.9.0(6)
PCA5437,R5.1.0(1),PCA5437,R5.1.0(1),PCA5437,R5.1.0(1),PCA5437,R5.1.0(1),PCA5437,R5.1.0(1),PCA5437,R5.1.0(1)
PCA5438,R6.4.0(7),PCA5438,R6.4.0(7),PCA5438,R6.4.0(7),PCA5438,R6.4.0(7),PCA5438,R6.4.0(7),PCA5438,R6.4.0(7)
PCA5438,R6.4.0(1),PCA5438,R6.4.0(1),PCA5438,R6.4.0(1),PCA5438,R6.4.0(1),PCA5438,R6.4.0(1),PCA5438,R6.4.0(1)
PCA5438,R6.1.0(1),PCA5438,R6.1.0(1),PCA5438,R6.1.0(1),PCA5438,R6.1.0(1),PCA5438,R6.1.0(1),PCA5438,R6.1.0(1)
PCA5444,R6.2.0(8),PCA5444,R6.2.0(8),PCA5444,R6.2.0(8),PCA5444,R6.2.0(8),PCA5444,R6.2.0(8),PCA5444,R6.2.0(8)
PCA5444,R5.6.0(1),PCA5444,R5.6.0(1),PCA5444,R5.6.0(1),PCA5444,R5.6.0(1),PCA5444,R5.6.0(1),PCA5444,R5.6.0(1)
PCA5444,R7.3.0(4),PCA5444,R7.3.0(4),PCA5444,R7.3.0(4),PCA5444,R7.3.0(4),PCA5444,R7.3.0(4),PCA5444,R7.3.0(4)
PCA5445,R6.3.0(8),PCA5445,R6.3.0(8),PCA5445,R6.3.0(8),PCA5445,R6.3.0(8),PCA5445,R6.3.0(8),PCA5445,R6.3.0(8)
PCA5446,R5.8.0(1),PCA5446,R5.8.0(1),PCA5446,R5.8.0(1),PCA5446,R5.8.0(1),PCA5446,R5.8.0(1),PCA5446,R5.8.0(1)
PCA5447,R5.6.0(8),PCA5447,R5.6.0(8),PCA5447,R5.6.0(8),PCA5447,R5.6.0(8),PCA5447,R5.6.0(8),PCA5447,R5.6.0(8)
PCA5447,R5.4.4(3),PCA5447,R5.4.4(3),PCA5447,R5.4.4(3),PCA5447,R5.4.4(3),PCA5447,R5.4.4(3),PCA5447,R5.4.4(3)
PCA5447,R5.8.0(1),PCA5447,R5.8.0(1),PCA5447,R5.8.0(1),PCA5447,R5.8.0(1),PCA5447,R5.8.0(1),PCA5447,R5.8.0(1)
PCA5448,R5.6.0(1),PCA5448,R5.6.0(1),PCA5448,R5.6.0(1),PCA5448,R5.6.0(1),PCA5448,R5.6.0(1),PCA5448,R5.6.0(1)
PCA5448,R6.3.0(1),PCA5448,R6.3.0(1),PCA5448,R6.3.0(1),PCA5448,R6.3.0(1),PCA5448,R6.3.0(1),PCA5448,R6.3.0(1)
PCA5448,R5.8.0(9),PCA5448,R5.8.0(9),PCA5448,R5.8.0(9),PCA5448,R5.8.0(9),PCA5448,R5.8.0(9),PCA5448,R5.8.0(9)
PCA5452,R6.4.0(7),PCA5452,R6.4.0(7),PCA5452,R6.4.0(7),PCA5452,R6.4.0(7),PCA5452,R6.4.0(7),PCA5452,R6.4.0(7)
PCA5452,R7.3.0(4),PCA5452,R7.3.0(4),PCA5452,R7.3.0(4),PCA5452,R7.3.0(4),PCA5452,R7.3.0(4),PCA5452,R7.3.0(4)
PCA5452,R5.8.0(1),PCA5452,R5.8.0(1),PCA5452,R5.8.0(1),PCA5452,R5.8.0(1),PCA5452,R5.8.0(1),PCA5452,R5.8.0(1)
PCA5455,R6.2.0(8),PCA5455,R6.2.0(8),PCA5455,R6.2.0(8),PCA5455,R6.2.0(8),PCA5455,R6.2.0(8),PCA5455,R6.2.0(8)
PCA5455,R7.1.0(3),PCA5455,R7.1.0(3),PCA5455,R7.1.0(3),PCA5455,R7.1.0(3),PCA5455,R7.1.0(3),PCA5455,R7.1.0(3)
PCA5455,R6.5.0(1),PCA5455,R6.5.0(1),PCA5455,R6.5.0(1),PCA5455,R6.5.0(1),PCA5455,R6.5.0(1),PCA5455,R6.5.0(1)
PCA5456,R5.9.0(1),PCA5456,R5.9.0(1),PCA5456,R5.9.0(1),PCA5456,R5.9.0(1),PCA5456,R5.9.0(1),PCA5456,R5.9.0(1)
PCA5456,R4.1.0(2),PCA5456,R4.1.0(2),PCA5456,R4.1.0(2),PCA5456,R4.1.0(2),PCA5456,R4.1.0(2),PCA5456,R4.1.0(2)
PCA5456,R7.1.0(3),PCA5456,R7.1.0(3),PCA5456,R7.1.0(3),PCA5456,R7.1.0(3),PCA5456,R7.1.0(3),PCA5456,R7.1.0(3)
PCA5457,R4.1.0(1),PCA5457,R4.1.0(1),PCA5457,R4.1.0(1),PCA5457,R4.1.0(1),PCA5457,R4.1.0(1),PCA5457,R4.1.0(1)
PCA5457,R5.4.4(3),PCA5457,R5.4.4(3),PCA5457,R5.4.4(3),PCA5457,R5.4.4(3),PCA5457,R5.4.4(3),PCA5457,R5.4.4(3)
PCA5457,R4.1.0(1),PCA5457,R4.1.0(1),PCA5457,R4.1.0(1),PCA5457,R4.1.0(1),PCA5457,R4.1.0(1),PCA5457,R4.1.0(1)
PCA5460,R6.4.0(7),PCA5460,R6.4.0(7),PCA5460,R6.4.0(7),PCA5460,R6.4.0(7),PCA5460,R6.4.0(7),PCA5460,R6.4.0(7)
PCA5460,R5.8.0(9),PCA5460,R5.8.0(9),PCA5460,R5.8.0(9),PCA5460,R5.8.0(9),PCA5460,R5.8.0(9),PCA5460,R5.8.0(9)
PCA5460,R5.9.0(6),PCA5460,R5.9.0(6),PCA5460,R5.9.0(6),PCA5460,R5.9.0(6),PCA5460,R5.9.0(6),PCA5460,R5.9.0(6)
PCA5461,R7.3.0(4),PCA5461,R7.3.0(4),PCA5461,R7.3.0(4),PCA5461,R7.3.0(4),PCA5461,R7.3.0(4),PCA5461,R7.3.0(4)
PCA5461,R5.9.0(6),PCA5461,R5.9.0(6),PCA5461,R5.9.0(6),PCA5461,R5.9.0(6),PCA5461,R5.9.0(6),PCA5461,R5.9.0(6)
PCA5461,R6.4.0(7),PCA5461,R6.4.0(7),PCA5461,R6.4.0(7),PCA5461,R6.4.0(7),PCA5461,R6.4.0(7),PCA5461,R6.4.0(7)
PCA5462,R6.4.0(1),PCA5462,R6.4.0(1),PCA5462,R6.4.0(1),PCA5462,R6.4.0(1),PCA5462,R6.4.0(1),PCA5462,R6.4.0(1)
PCA5462,R6.5.0(1),PCA5462,R6.5.0(1),PCA5462,R6.5.0(1),PCA5462,R6.5.0(1),PCA5462,R6.5.0(1),PCA5462,R6.5.0(1)
PCA5462,R6.3.0(1),PCA5462,R6.3.0(1),PCA5462,R6.3.0(1),PCA5462,R6.3.0(1),PCA5462,R6.3.0(1),PCA5462,R6.3.0(1)
PCA5467,R7.1.0(3),PCA5467,R7.1.0(3),PCA5467,R7.1.0(3),PCA5467,R7.1.0(3),PCA5467,R7.1.0(3),PCA5467,R7.1.0(3)
PCA5468,R6.3.0(9),PCA5468,R6.3.0(9),PCA5468,R6.3.0(9),PCA5468,R6.3.0(9),PCA5468,R6.3.0(9),PCA5468,R6.3.0(9)
PCA5468,R5.8.0(9),PCA5468,R5.8.0(9),PCA5468,R5.8.0(9),PCA5468,R5.8.0(9),PCA5468,R5.8.0(9),PCA5468,R5.8.0(9)
PCA5468,R6.5.0(1),PCA5468,R6.5.0(1),PCA5468,R6.5.0(1),PCA5468,R6.5.0(1),PCA5468,R6.5.0(1),PCA5468,R6.5.0(1)
PCA5473,R5.6.0(8),PCA5473,R5.6.0(8),PCA5473,R5.6.0(8),PCA5473,R5.6.0(8),PCA5473,R5.6.0(8),PCA5473,R5.6.0(8)
PCA5474,R5.6.0(1),PCA5474,R5.6.0(1),PCA5474,R5.6.0(1),PCA5474,R5.6.0(1),PCA5474,R5.6.0(1),PCA5474,R5.6.0(1)
PCA5474,R6.4.0(7),PCA5474,R6.4.0(7),PCA5474,R6.4.0(7),PCA5474,R6.4.0(7),PCA5474,R6.4.0(7),PCA5474,R6.4.0(7)
PCA5474,R5.8.0(9),PCA5474,R5.8.0(9),PCA5474,R5.8.0(9),PCA5474,R5.8.0(9),PCA5474,R5.8.0(9),PCA5474,R5.8.0(9)
PCA5475,R6.3.0(9),PCA5475,R6.3.0(9),PCA5475,R6.3.0(9),PCA5475,R6.3.0(9),PCA5475,R6.3.0(9),PCA5475,R6.3.0(9)
PCA5476,R6.1.0(1),PCA5476,R6.1.0(1),PCA5476,R6.1.0(1),PCA5476,R6.1.0(1),PCA5476,R6.1.0(1),PCA5476,R6.1.0(1)
PCA5481,R5.6.0(8),PCA5481,R5.6.0(8),PCA5481,R5.6.0(8),PCA5481,R5.6.0(8),PCA5481,R5.6.0(8),PCA5481,R5.6.0(8)
PCA5481,R5.6.0(8),PCA5481,R5.6.0(8),PCA5481,R5.6.0(8),PCA5481,R5.6.0(8),PCA5481,R5.6.0(8),PCA5481,R5.6.0(8)
PCA5481,R4.1.0(2),PCA5481,R4.1.0(2),PCA5481,R4.1.0(2),PCA5481,R4.1.0(2),PCA5481,R4.1.0(2),PCA5481,R4.1.0(2)
PCA5482,R5.7.0(1),PCA5482,R5.7.0(1),PCA5482,R5.7.0(1),PCA5482,R5.7.0(1),PCA5482,R5.7.0(1),PCA5482,R5.7.0(1)
PCA5482,R6.2.0(8),PCA5482,R6.2.0(8),PCA5482,R6.2.0(8),PCA5482,R6.2.0(8),PCA5482,R6.2.0(8),PCA5482,R6.2.0(8)
PCA5482,R6.4.0(1),PCA5482,R6.4.0(1),PCA5482,R6.4.0(1),PCA5482,R6.4.0(1),PCA5482,R6.4.0(1),PCA5482,R6.4.0(1)
PCA5483,R6.3.0(8),PCA5483,R6.3.0(8),PCA5483,R6.3.0(8),PCA5483,R6.3.0(8),PCA5483,R6.3.0(8),PCA5483,R6.3.0(8)
PCA5483,R5.7.0(1),PCA5483,R5.7.0(1),PCA5483,R5.7.0(1),PCA5483,R5.7.0(1),PCA5483,R5.7.0(1),PCA5483,R5.7.0(1)
PCA5483,R6.2.0(1),PCA5483,R6.2.0(1),PCA5483,R6.2.0(1),PCA5483,R6.2.0(1),PCA5483,R6.2.0(1),PCA5483,R6.2.0(1)
PCA5485,R4.1.0(2),PCA5485,R4.1.0(2),PCA5485,R4.1.0(2),PCA5485,R4.1.0(2),PCA5485,R4.1.0(2),PCA5485,R4.1.0(2)
PCA5485,R6.5.0(1),PCA5485,R6.5.0(1),PCA5485,R6.5.0(1),PCA5485,R6.5.0(1),PCA5485,R6.5.0(1),PCA5485,R6.5.0(1)
PCA5485,R4.1.0(1),PCA5485,R4.1.0(1),PCA5485,R4.1.0(1),PCA5485,R4.1.0(1),PCA5485,R4.1.0(1),PCA5485,R4.1.0(1)
PCA5486,R5.4.4(3),PCA5486,R5.4.4(3),PCA5486,R5.4.4(3),PCA5486,R5.4.4(3),PCA5486,R5.4.4(3),PCA5486,R5.4.4(3)
PCA5487,R6.3.0(8),PCA5487,R6.3.0(8),PCA5487,R6.3.0(8),PCA5487,R6.3.0(8),PCA5487,R6.3.0(8),PCA5487,R6.3.0(8)
PCA5487,R6.3.0(1),PCA5487,R6.3.0(1),PCA5487,R6.3.0(1),PCA5487,R6.3.0(1),PCA5487,R6.3.0(1),PCA5487,R6.3.0(1)
PCA5487,R6.4.0(1),PCA5487,R6.4.0(1),PCA5487,R6.4.0(1),PCA5487,R6.4.0(1),PCA5487,R6.4.0(1),PCA5487,R6.4.0(1)
PCA5489,R5.8.0(9),PCA5489,R5.8.0(9),PCA5489,R5.8.0(9),PCA5489,R5.8.0(9),PCA5489,R5.8.0(9),PCA5489,R5.8.0(9)
PCA5489,R5.7.0(1),PCA5489,R5.7.0(1),PCA5489,R5.7.0(1),PCA5489,R5.7.0(1),PCA5489,R5.7.0(1),PCA5489,R5.7.0(1)
PCA5489,R5.1.0(1),PCA5489,R5.1.0(1),PCA5489,R5.1.0(1),PCA5489,R5.1.0(1),PCA5489,R5.1.0(1),PCA5489,R5.1.0(1)
PCA5493,R5.8.0(9),PCA5493,R5.8.0(9),PCA5493,R5.8.0(9),PCA5493,R5.8.0(9),PCA5493,R5.8.0(9),PCA5493,R5.8.0(9)
PCA5494,R7.3.0(4),PCA5494,R7.3.0(4),PCA5494,R7.3.0(4),PCA5494,R7.3.0(4),PCA5494,R7.3.0(4),PCA5494,R7.3.0(4)
PCA5495,R5.6.0(1),PCA5495,R5.6.0(1),PCA5495,R5.6.0(1),PCA5495,R5.6.0(1),PCA5495,R5.6.0(1),PCA5495,R5.6.0(1)
PCA5495,R6.4.0(6),PCA5495,R6.4.0(6),PCA5495,R6.4.0(6),PCA5495,R6.4.0(6),PCA5495,R6.4.0(6),PCA5495,R6.4.0(6)
PCA5495,R5.6.0(8),PCA5495,R5.6.0(8),PCA5495,R5.6.0(8),PCA5495,R5.6.0(8),PCA5495,R5.6.0(8),PCA5495,R5.6.0(8)
PCA5501,R5.6.0(8),PCA5501,R5.6.0(8),PCA5501,R5.6.0(8),PCA5501,R5.6.0(8),PCA5501,R5.6.0(8),PCA5501,R5.6.0(8)
PCA5503,R6.5.0(1),PCA5503,R6.5.0(1),PCA5503,R6.5.0(1),PCA5503,R6.5.0(1),PCA5503,R6.5.0(1),PCA5503,R6.5.0(1)
PCA5503,R5.6.0(1),PCA5503,R5.6.0(1),PCA5503,R5.6.0(1),PCA5503,R5.6.0(1),PCA5503,R5.6.0(1),PCA5503,R5.6.0(1)
PCA5503,R7.1.0(3),PCA5503,R7.1.0(3),PCA5503,R7.1.0(3),PCA5503,R7.1.0(3),PCA5503,R7.1.0(3),PCA5503,R7.1.0(3)
PCA5504,R4.1.0(2),PCA5504,R4.1.0(2),PCA5504,R4.1.0(2),PCA5504,R4.1.0(2),PCA5504,R4.1.0(2),PCA5504,R4.1.0(2)
PCA5507,R7.1.0(3),PCA5507,R7.1.0(3),PCA5507,R7.1.0(3),PCA5507,R7.1.0(3),PCA5507,R7.1.0(3),PCA5507,R7.1.0(3)
PCA5507,R5.8.0(9),PCA5507,R5.8.0(9),PCA5507,R5.8.0(9),PCA5507,R5.8.0(9),PCA5507,R5.8.0(9),PCA5507,R5.8.0(9)
PCA5507,R6.2.0(1),PCA5507,R6.2.0(1),PCA5507,R6.2.0(1),PCA5507,R6.2.0(1),PCA5507,R6.2.0(1),PCA5507,R6.2.0(1)
PCA5508,R5.7.0(1),PCA5508,R5.7.0(1),PCA5508,R5.7.0(1),PCA5508,R5.7.0(1),PCA5508,R5.7.0(1),PCA5508,R5.7.0(1)
