clsid,clsdesc,CLSAUTHOR,clsstartdate,clsversion,clsclasses
clsid3809,Used for the majority of grant programs processed in CORe,Caleb38,10/8/2015,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\Keyspace.java
clsid3810,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,9/8/2015,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\KeyspaceNotDefinedException.java
clsid3811,Codes for child support services,Caleb2,6/4/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\lifecycle\Helpers.java
clsid3812,Codes for child support services,Caleb26,5/5/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\lifecycle\LifecycleTransaction.java
clsid3813,Codes for Juvenile Justice (Youth Aids) services,Caleb2,4/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\lifecycle\SSTableIntervalTree.java
clsid3814,Codes for Juvenile Justice (Youth Aids) services,Caleb1,3/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\lifecycle\Tracker.java
clsid3815,Codes for Juvenile Justice (Youth Aids) services,Caleb2,2/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\lifecycle\View.java
clsid3816,Codes related to County and Tribe Child Care services,Caleb36,1/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\AbstractCompositeType.java
clsid3817,Codes for Juvenile Justice (Youth Aids) services,Caleb1,12/7/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\AbstractType.java
clsid3818,Codes for Juvenile Justice (Youth Aids) services,Caleb1,11/7/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\AsciiType.java
clsid3819,Codes related to County and Tribe Child Care services,Caleb2,10/8/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\BooleanType.java
clsid3820,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,9/8/2015,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\BytesType.java
clsid3821,Used for the majority of grant programs processed in CORe,Caleb28,6/4/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\ByteType.java
clsid3822,Used for the majority of grant programs processed in CORe,Caleb1,5/5/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\CollectionType.java
clsid3823,Used for the majority of grant programs processed in CORe,Caleb1,4/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\ColumnToCollectionType.java
clsid3824,Codes for child support services,Caleb1,3/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\CompositeType.java
clsid3825,Codes for Juvenile Justice (Youth Aids) services,Caleb8,2/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\CounterColumnType.java
clsid3826,Used for the majority of grant programs processed in CORe,Caleb2,1/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\DateType.java
clsid3827,Codes for Juvenile Justice (Youth Aids) services,Caleb2,12/7/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\DecimalType.java
clsid3828,Codes related to County and Tribe Child Care services,Caleb2,11/7/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\DoubleType.java
clsid3829,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,10/8/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\DynamicCompositeType.java
clsid3830,Codes for Juvenile Justice (Youth Aids) services,Caleb2,9/8/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\EmptyType.java
clsid3831,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb23,6/4/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\FloatType.java
clsid3832,Codes related to other Child Care services,Caleb2,5/5/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\FrozenType.java
clsid3833,Codes related to other Child Care services,Caleb2,4/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\InetAddressType.java
clsid3834,Codes related to County and Tribe Child Care services,Caleb1,3/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\Int32Type.java
clsid3835,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb28,2/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\IntegerType.java
clsid3836,Codes related to other Child Care services,Caleb1,1/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\LexicalUUIDType.java
clsid3837,Used for the majority of grant programs processed in CORe,Caleb18,12/7/2015,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\ListType.java
clsid3838,Codes related to other Child Care services,Caleb2,11/7/2015,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\LocalByPartionerType.java
clsid3839,Used for the majority of grant programs processed in CORe,Caleb2,10/8/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\LongType.java
clsid3840,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,9/8/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\MapType.java
clsid3841,Codes for child support services,Caleb2,6/4/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\ReversedType.java
clsid3842,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,5/5/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\SetType.java
clsid3843,Codes for child support services,Caleb47,4/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\ShortType.java
clsid3844,Used for the majority of grant programs processed in CORe,Caleb27,3/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\SimpleDateType.java
clsid3845,Codes related to other Child Care services,Caleb34,2/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\TimestampType.java
clsid3846,Used for the majority of grant programs processed in CORe,Caleb1,1/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\TimeType.java
clsid3847,Codes related to other Child Care services,Caleb49,12/7/2015,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\TimeUUIDType.java
clsid3848,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb45,11/7/2015,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\TupleType.java
clsid3849,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,10/8/2015,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\TypeParser.java
clsid3850,Codes related to other Child Care services,Caleb2,9/8/2015,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\UserType.java
clsid3851,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb23,6/4/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\UTF8Type.java
clsid3852,Codes for child support services,Caleb3,5/5/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\marshal\UUIDType.java
clsid3853,Codes related to County and Tribe Child Care services,Caleb2,4/5/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\Memtable.java
clsid3854,Codes related to State County Contract  for Human or Social  Services contracts,Caleb14,3/6/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\MigrationRequestVerbHandler.java
clsid3855,Codes related to County and Tribe Child Care services,Caleb2,2/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\Mutation.java
clsid3856,Codes related to other Child Care services,Caleb1,1/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\MutationVerbHandler.java
clsid3857,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,12/7/2015,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\NativeCell.java
clsid3858,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,11/7/2015,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\NativeCounterCell.java
clsid3859,Codes for child support services,Caleb33,10/8/2015,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\NativeDecoratedKey.java
clsid3860,Codes for child support services,Caleb1,9/8/2015,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\NativeDeletedCell.java
clsid3861,Codes related to County and Tribe Child Care services,Caleb2,6/4/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\NativeExpiringCell.java
clsid3862,Used for the majority of grant programs processed in CORe,Caleb26,5/5/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\OnDiskAtom.java
clsid3863,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb3,4/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\PagedRangeCommand.java
clsid3864,Codes for Juvenile Justice (Youth Aids) services,Caleb2,3/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\PreHashedDecoratedKey.java
clsid3865,Codes for child support services,Caleb2,2/5/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\RangeSliceCommand.java
clsid3866,Codes related to State County Contract  for Human or Social  Services contracts,Caleb21,1/6/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\RangeSliceReply.java
clsid3867,Codes related to State County Contract  for Human or Social  Services contracts,Caleb8,12/7/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\RangeTombstone.java
clsid3868,Used for the majority of grant programs processed in CORe,Caleb31,11/7/2015,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\RangeTombstoneList.java
clsid3869,Codes related to County and Tribe Child Care services,Caleb43,10/8/2015,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\ReadCommand.java
clsid3870,Codes related to County and Tribe Child Care services,Caleb1,9/8/2015,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\ReadRepairVerbHandler.java
clsid3871,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb9,6/4/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\ReadResponse.java
clsid3872,Used for the majority of grant programs processed in CORe,Caleb1,5/5/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\ReadVerbHandler.java
clsid3873,Codes for Juvenile Justice (Youth Aids) services,Caleb3,4/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\RetriedSliceFromReadCommand.java
clsid3874,Codes related to State County Contract  for Human or Social  Services contracts,Caleb18,3/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\Row.java
clsid3875,Codes related to County and Tribe Child Care services,Caleb1,2/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\RowIndexEntry.java
clsid3876,Codes related to other Child Care services,Caleb2,1/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\RowIteratorFactory.java
clsid3877,Codes for child support services,Caleb35,12/7/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\RowPosition.java
clsid3878,Codes for Juvenile Justice (Youth Aids) services,Caleb9,11/7/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\SchemaCheckVerbHandler.java
clsid3879,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb33,10/8/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\SizeEstimatesRecorder.java
clsid3880,Codes related to County and Tribe Child Care services,Caleb1,9/8/2015,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\SliceByNamesReadCommand.java
clsid3881,Codes related to other Child Care services,Caleb1,6/4/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\SliceFromReadCommand.java
clsid3882,Codes for Juvenile Justice (Youth Aids) services,Caleb2,5/5/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\SnapshotCommand.java
clsid3883,Codes related to other Child Care services,Caleb1,4/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\SnapshotDetailsTabularData.java
clsid3884,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb18,3/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\SuperColumns.java
clsid3885,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,2/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\SystemKeyspace.java
clsid3886,Codes for child support services,Caleb46,1/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\TruncateResponse.java
clsid3887,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,12/7/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\TruncateVerbHandler.java
clsid3888,Codes for Juvenile Justice (Youth Aids) services,Caleb49,11/7/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\Truncation.java
clsid3889,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,10/8/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\TypeSizes.java
clsid3890,Codes related to County and Tribe Child Care services,Caleb49,9/8/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\UnknownColumnFamilyException.java
clsid3891,Used for the majority of grant programs processed in CORe,Caleb2,6/4/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\WindowsFailedSnapshotTracker.java
clsid3892,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,5/5/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\WriteResponse.java
clsid3893,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,4/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\WriteType.java
clsid3894,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb38,3/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\AbstractBounds.java
clsid3895,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,2/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\BootStrapper.java
clsid3896,Codes for Juvenile Justice (Youth Aids) services,Caleb2,1/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\Bounds.java
clsid3897,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,12/7/2015,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\ByteOrderedPartitioner.java
clsid3898,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,11/7/2015,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\ComparableObjectToken.java
clsid3899,Codes related to County and Tribe Child Care services,Caleb2,10/8/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\ExcludingBounds.java
clsid3900,Codes related to County and Tribe Child Care services,Caleb1,9/8/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\IncludingExcludingBounds.java
clsid3901,Codes related to other Child Care services,Caleb2,6/4/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\IPartitioner.java
clsid3902,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,5/5/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\IPartitionerDependentSerializer.java
clsid3903,Codes related to County and Tribe Child Care services,Caleb16,4/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\LocalPartitioner.java
clsid3904,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb37,3/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\Murmur3Partitioner.java
clsid3905,Used for the majority of grant programs processed in CORe,Caleb1,2/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\OrderPreservingPartitioner.java
clsid3906,Codes for child support services,Caleb2,1/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\RandomPartitioner.java
clsid3907,Codes related to other Child Care services,Caleb1,12/7/2015,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\Range.java
clsid3908,Used for the majority of grant programs processed in CORe,Caleb2,11/7/2015,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\RangeStreamer.java
clsid3909,Codes related to other Child Care services,Caleb1,10/8/2015,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\RingPosition.java
clsid3910,Codes for child support services,Caleb1,9/8/2015,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\StreamStateStore.java
clsid3911,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,6/4/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\dht\Token.java
clsid3912,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb35,5/5/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\AlreadyExistsException.java
clsid3913,Used for the majority of grant programs processed in CORe,Caleb17,4/5/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\AuthenticationException.java
clsid3914,Codes for Juvenile Justice (Youth Aids) services,Caleb6,3/6/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\CassandraException.java
clsid3915,Codes related to County and Tribe Child Care services,Caleb1,2/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\ConfigurationException.java
clsid3916,Codes for Juvenile Justice (Youth Aids) services,Caleb1,1/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\ExceptionCode.java
clsid3917,Codes for child support services,Caleb2,12/7/2015,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\FunctionExecutionException.java
clsid3918,Codes related to State County Contract  for Human or Social  Services contracts,Caleb47,11/7/2015,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\InvalidRequestException.java
clsid3919,Codes for child support services,Caleb2,10/8/2015,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\IsBootstrappingException.java
clsid3920,Codes related to State County Contract  for Human or Social  Services contracts,Caleb34,9/8/2015,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\OverloadedException.java
clsid3921,Used for the majority of grant programs processed in CORe,Caleb2,6/4/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\PreparedQueryNotFoundException.java
clsid3922,Codes related to other Child Care services,Caleb44,5/5/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\ReadFailureException.java
clsid3923,Codes related to other Child Care services,Caleb47,4/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\ReadTimeoutException.java
clsid3924,Used for the majority of grant programs processed in CORe,Caleb2,3/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\RepairException.java
clsid3925,Codes related to County and Tribe Child Care services,Caleb41,2/5/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\RequestExecutionException.java
clsid3926,Codes related to State County Contract  for Human or Social  Services contracts,Caleb16,1/6/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\RequestFailureException.java
clsid3927,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,12/7/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\RequestTimeoutException.java
clsid3928,Used for the majority of grant programs processed in CORe,Caleb2,11/7/2015,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\RequestValidationException.java
clsid3929,Codes for child support services,Caleb20,10/8/2015,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\StartupException.java
clsid3930,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,9/8/2015,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\SyntaxException.java
clsid3931,Used for the majority of grant programs processed in CORe,Caleb24,6/4/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\TransportException.java
clsid3932,Codes related to other Child Care services,Caleb6,5/5/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\TruncateException.java
clsid3933,Codes related to other Child Care services,Caleb2,4/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\UnauthorizedException.java
clsid3934,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,3/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\UnavailableException.java
clsid3935,Codes for Juvenile Justice (Youth Aids) services,Caleb1,2/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\UnrecognizedEntityException.java
clsid3936,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb6,1/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\WriteFailureException.java
clsid3937,Codes related to State County Contract  for Human or Social  Services contracts,Caleb14,12/7/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\exceptions\WriteTimeoutException.java
clsid3938,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,11/7/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\ApplicationState.java
clsid3939,Codes related to other Child Care services,Caleb2,10/8/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\EchoMessage.java
clsid3940,Codes related to other Child Care services,Caleb1,9/8/2015,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\EndpointState.java
clsid3941,Codes related to County and Tribe Child Care services,Caleb1,6/4/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\FailureDetector.java
clsid3942,Codes related to State County Contract  for Human or Social  Services contracts,Caleb32,5/5/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\FailureDetectorMBean.java
clsid3943,Codes related to County and Tribe Child Care services,Caleb1,4/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\GossipDigest.java
clsid3944,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb19,3/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\GossipDigestAck.java
clsid3945,Codes for Juvenile Justice (Youth Aids) services,Caleb42,2/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\GossipDigestAck2.java
clsid3946,Codes for child support services,Caleb32,1/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\GossipDigestAck2VerbHandler.java
clsid3947,Codes for child support services,Caleb1,12/7/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\GossipDigestAckVerbHandler.java
clsid3948,Codes for child support services,Caleb2,11/7/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\GossipDigestSyn.java
clsid3949,Codes for child support services,Caleb2,10/8/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\GossipDigestSynVerbHandler.java
clsid3950,Codes for child support services,Caleb2,9/8/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\Gossiper.java
clsid3951,Codes for Juvenile Justice (Youth Aids) services,Caleb25,6/4/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\GossiperMBean.java
clsid3952,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,5/5/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\GossipShutdownVerbHandler.java
clsid3953,Codes for child support services,Caleb2,4/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\HeartBeatState.java
clsid3954,Used for the majority of grant programs processed in CORe,Caleb1,3/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\IEndpointStateChangeSubscriber.java
clsid3955,Used for the majority of grant programs processed in CORe,Caleb2,2/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\IFailureDetectionEventListener.java
clsid3956,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,1/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\IFailureDetector.java
clsid3957,Codes for Juvenile Justice (Youth Aids) services,Caleb2,12/7/2015,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\TokenSerializer.java
clsid3958,Codes related to other Child Care services,Caleb22,11/7/2015,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\VersionedValue.java
clsid3959,Codes related to State County Contract  for Human or Social  Services contracts,Caleb27,10/8/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\gms\VersionGenerator.java
clsid3960,Codes for child support services,Caleb6,9/8/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\hadoop\AbstractColumnFamilyInputFormat.java
clsid3961,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,6/4/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\hadoop\BulkOutputFormat.java
clsid3962,Codes related to County and Tribe Child Care services,Caleb2,5/5/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\hadoop\BulkRecordWriter.java
clsid3963,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,4/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\hadoop\ColumnFamilyInputFormat.java
clsid3964,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,3/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\hadoop\ColumnFamilyOutputFormat.java
clsid3965,Codes related to other Child Care services,Caleb2,2/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\hadoop\ColumnFamilyRecordReader.java
clsid3966,Codes related to other Child Care services,Caleb2,1/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\hadoop\ColumnFamilyRecordWriter.java
