"COMPONENTID","COMPONENTNAME","FUNCTION"
"CP1400","Pump fault manager","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1401","Error Dector","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1402","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1403","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1404","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP1405","ICE Bus Adapter","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1406","Commands","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1407","Parameters","The patient should receive enough drug to relieve the pain."
"CP1408","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1409","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1410","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1411","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"CP1412","Operation Process","The patient should not receive so much drug that makes him unaware"
"CP1413","Operation Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1414","Drug Libary Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1415","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1416","Scanner","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1417","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP1418","Security Subsystem","Performs primary pump operation"
"CP1419","Pump","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1420","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1421","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1422","Drug Reservoir","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1423","Patient Button","Patient''s health information should be available to those caring for the patient, and only those."
"CP1424","Safety","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1425","Failture LED","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1426","Alarm Thread","The patient should receive enough drug to relieve the pain."
"CP1427","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1428","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1429","Fault Logger","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1430","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP1431","Downstream Monitor","The patient should not receive so much drug that makes him unaware"
"CP1432","ICE Bus Adapter","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1433","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1434","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1435","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1436","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"CP1437","Power Control","Performs primary pump operation"
"CP1438","Control Panel","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1439","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1440","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1441","Drug Libary Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1442","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP1443","Scanner","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1444","Security Subsystem","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1445","Security Subsystem","The patient should receive enough drug to relieve the pain."
"CP1446","Pump","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1447","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1448","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1449","Drug Reservoir","Patient''s health information should be available to those caring for the patient, and only those."
"CP1450","Patient Button","The patient should not receive so much drug that makes him unaware"
"CP1451","Safety","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1452","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1453","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1454","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1455","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"CP1456","Fault Logger","Performs primary pump operation"
"CP1457","Upstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1458","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1459","ICE Bus Adapter","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1460","Commands","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1461","Parameters","Patient''s health information should be available to those caring for the patient, and only those."
"CP1462","Security Status","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1463","Alarms","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1464","Power Control","The patient should receive enough drug to relieve the pain."
"CP1465","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1466","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1467","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1468","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP1469","Event Logger Thread","The patient should not receive so much drug that makes him unaware"
"CP1470","Scanner","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1471","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1472","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1473","Pump","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1474","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP1475","Downstream Monitor","Performs primary pump operation"
"CP1476","Drug Reservoir","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1477","Patient Button","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1478","Safety","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1479","Failture LED","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1480","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP1481","Pump fault manager","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1482","Error Dector","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1483","Fault Logger","The patient should receive enough drug to relieve the pain."
"CP1484","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1485","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1486","ICE Bus Adapter","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1487","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"CP1488","Parameters","The patient should not receive so much drug that makes him unaware"
"CP1489","Security Status","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1490","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1491","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1492","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1493","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"CP1494","Operation Thread","Performs primary pump operation"
"CP1495","Drug Libary Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1496","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1497","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1498","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1499","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP1500","Pump","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1501","Upstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1502","Downstream Monitor","The patient should receive enough drug to relieve the pain."
"CP1503","Drug Reservoir","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1504","Patient Button","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1505","Safety","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1506","Failture LED","Patient''s health information should be available to those caring for the patient, and only those."
"CP1507","Alarm Thread","The patient should not receive so much drug that makes him unaware"
"CP1508","Pump fault manager","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1509","Error Dector","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1510","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1511","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1512","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP1513","ICE Bus Adapter","Performs primary pump operation"
"CP1514","Commands","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1515","Parameters","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1516","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1517","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1518","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"CP1519","Control Panel","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1520","Operation Process","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1521","Operation Thread","The patient should receive enough drug to relieve the pain."
"CP1522","Drug Libary Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1523","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1524","Scanner","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1525","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP1526","Security Subsystem","The patient should not receive so much drug that makes him unaware"
"CP1527","Pump","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1528","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1529","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1530","Drug Reservoir","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1531","Patient Button","Patient''s health information should be available to those caring for the patient, and only those."
"CP1532","Safety","Performs primary pump operation"
"CP1533","Failture LED","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1534","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1535","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1536","Error Dector","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1537","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"CP1538","Upstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1539","Downstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1540","ICE Bus Adapter","The patient should receive enough drug to relieve the pain."
"CP1541","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1542","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1543","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1544","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"CP1545","Power Control","The patient should not receive so much drug that makes him unaware"
"CP1546","Control Panel","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1547","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1548","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1549","Drug Libary Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1550","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP1551","Scanner","Performs primary pump operation"
"CP1552","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1553","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1554","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1555","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1556","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP1557","Drug Reservoir","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1558","Patient Button","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1559","Safety","The patient should receive enough drug to relieve the pain."
"CP1560","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1561","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1562","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1563","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"CP1564","Fault Logger","The patient should not receive so much drug that makes him unaware"
"CP1565","Upstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1566","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1567","ICE Bus Adapter","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1568","Commands","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1569","Parameters","Patient''s health information should be available to those caring for the patient, and only those."
"CP1570","Security Status","Performs primary pump operation"
"CP1571","Alarms","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1572","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1573","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1574","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1575","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP1576","Drug Libary Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1577","Event Logger Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1578","Scanner","The patient should receive enough drug to relieve the pain."
"CP1579","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1580","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1581","Pump","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1582","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP1583","Downstream Monitor","The patient should not receive so much drug that makes him unaware"
"CP1584","Drug Reservoir","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1585","Patient Button","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1586","Safety","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1587","Failture LED","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1588","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP1589","Pump fault manager","Performs primary pump operation"
"CP1590","Error Dector","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1591","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1592","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1593","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1594","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"CP1595","Commands","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1596","Parameters","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1597","Security Status","The patient should receive enough drug to relieve the pain."
"CP1598","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1599","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1600","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1601","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"CP1602","Operation Thread","The patient should not receive so much drug that makes him unaware"
"CP1603","Drug Libary Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1604","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1605","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1606","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1607","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP1608","Pump","Performs primary pump operation"
"CP1609","Upstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1610","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1611","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1612","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1613","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"CP1614","Failture LED","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1615","Alarm Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1616","Pump fault manager","The patient should receive enough drug to relieve the pain."
"CP1617","Error Dector","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1618","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1619","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1620","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP1621","ICE Bus Adapter","The patient should not receive so much drug that makes him unaware"
"CP1622","Commands","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1623","Parameters","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1624","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1625","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1626","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"CP1627","Control Panel","Performs primary pump operation"
"CP1628","Operation Process","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1629","Operation Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1630","Drug Libary Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1631","Event Logger Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1632","Scanner","Patient''s health information should be available to those caring for the patient, and only those."
"CP1633","Security Subsystem","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1634","Security Subsystem","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1635","Pump","The patient should receive enough drug to relieve the pain."
"CP1636","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1637","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1638","Drug Reservoir","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1639","Patient Button","Patient''s health information should be available to those caring for the patient, and only those."
"CP1640","Safety","The patient should not receive so much drug that makes him unaware"
"CP1641","Failture LED","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1642","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1643","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1644","Error Dector","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1645","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"CP1646","Upstream Monitor","Performs primary pump operation"
"CP1647","Downstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1648","ICE Bus Adapter","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1649","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1650","Parameters","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1651","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"CP1652","Alarms","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1653","Power Control","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1654","Control Panel","The patient should receive enough drug to relieve the pain."
"CP1655","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1656","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1657","Drug Libary Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1658","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP1659","Scanner","The patient should not receive so much drug that makes him unaware"
"CP1660","Security Subsystem","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1661","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1662","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1663","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1664","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP1665","Drug Reservoir","Performs primary pump operation"
"CP1666","Patient Button","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1667","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1668","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1669","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1670","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"CP1671","Error Dector","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1672","Fault Logger","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1673","Upstream Monitor","The patient should receive enough drug to relieve the pain."
"CP1674","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1675","ICE Bus Adapter","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1676","Commands","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1677","Parameters","Patient''s health information should be available to those caring for the patient, and only those."
"CP1678","Security Status","The patient should not receive so much drug that makes him unaware"
"CP1679","Alarms","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1680","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1681","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1682","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1683","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP1684","Drug Libary Thread","Performs primary pump operation"
"CP1685","Event Logger Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1686","Scanner","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1687","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1688","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1689","Pump","Patient''s health information should be available to those caring for the patient, and only those."
"CP1690","Upstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1691","Downstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1692","Drug Reservoir","The patient should receive enough drug to relieve the pain."
"CP1693","Patient Button","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1694","Safety","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1695","Failture LED","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1696","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP1697","Pump fault manager","The patient should not receive so much drug that makes him unaware"
"CP1698","Error Dector","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1699","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1700","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1701","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1702","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"CP1703","Commands","Performs primary pump operation"
"CP1704","Parameters","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1705","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1706","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1707","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1708","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"CP1709","Operation Process","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1710","Operation Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1711","Drug Libary Thread","The patient should receive enough drug to relieve the pain."
"CP1712","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1713","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1714","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1715","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP1716","Pump","The patient should not receive so much drug that makes him unaware"
"CP1717","Upstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1718","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1719","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1720","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1721","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"CP1722","Failture LED","Performs primary pump operation"
"CP1723","Alarm Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1724","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1725","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1726","Fault Logger","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1727","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP1728","Downstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1729","ICE Bus Adapter","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1730","Commands","The patient should receive enough drug to relieve the pain."
"CP1731","Parameters","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1732","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1733","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1734","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"CP1735","Control Panel","The patient should not receive so much drug that makes him unaware"
"CP1736","Operation Process","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1737","Operation Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1738","Drug Libary Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1739","Event Logger Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1740","Scanner","Patient''s health information should be available to those caring for the patient, and only those."
"CP1741","Security Subsystem","Performs primary pump operation"
"CP1742","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1743","Pump","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
