"SUBCOMPONENTID","COMPONENTNAME","FUNCTION"
"SCP1555","Security Subsystem","The patient should not receive so much drug that makes him unaware"
"SCP1556","Security Subsystem","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP1557","Pump","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1558","Error Dector","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1559","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1560","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1561","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1562","ICE Bus Adapter","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1563","Commands","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1564","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1565","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1566","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1567","Security Status","Performs primary pump operation"
"SCP1568","Alarms","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1569","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1570","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1571","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1572","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1573","Downstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1574","Drug Reservoir","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP1575","Patient Button","The patient should receive enough drug to relieve the pain."
"SCP1576","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1577","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1578","Alarm Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1579","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1580","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1581","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1582","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1583","Control Panel","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1584","Operation Process","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1585","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1586","Drug Libary Thread","The patient should not receive so much drug that makes him unaware"
"SCP1587","Event Logger Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP1588","Scanner","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1589","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1590","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1591","Pump","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1592","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1593","Fault Logger","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1594","Upstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1595","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1596","ICE Bus Adapter","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1597","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1598","Parameters","Performs primary pump operation"
"SCP1599","Alarm Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1600","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1601","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1602","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1603","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1604","Control Panel","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1605","Operation Process","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP1606","Upstream Monitor","The patient should receive enough drug to relieve the pain."
"SCP1607","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1608","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1609","Patient Button","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1610","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1611","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1612","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1613","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1614","Security Status","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1615","Alarms","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1616","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1617","Control Panel","The patient should not receive so much drug that makes him unaware"
"SCP1618","Operation Process","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP1619","Operation Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1620","Drug Libary Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1621","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1622","Scanner","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1623","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1624","Security Subsystem","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1625","Pump","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1626","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1627","Fault Logger","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1628","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1629","Downstream Monitor","Performs primary pump operation"
"SCP1630","ICE Bus Adapter","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1631","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1632","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1633","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1634","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1635","Security Status","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1636","Alarms","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP1637","Power Control","The patient should receive enough drug to relieve the pain."
"SCP1638","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1639","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1640","Upstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1641","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1642","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1643","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1644","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1645","Failture LED","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1646","Alarm Thread","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1647","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1648","Security Status","The patient should not receive so much drug that makes him unaware"
"SCP1649","Alarms","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP1650","Power Control","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1651","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1652","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1653","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1654","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1655","Event Logger Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1656","Scanner","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1657","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1658","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1659","Pump","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1660","Error Dector","Performs primary pump operation"
"SCP1661","Fault Logger","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1662","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1663","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1664","ICE Bus Adapter","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1665","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1666","Parameters","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1667","Alarm Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP1668","Pump fault manager","The patient should receive enough drug to relieve the pain."
"SCP1669","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1670","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1671","Power Control","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1672","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1673","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1674","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1675","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1676","Drug Reservoir","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1677","Patient Button","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1678","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1679","Failture LED","The patient should not receive so much drug that makes him unaware"
"SCP1680","Alarm Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP1681","Pump fault manager","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1682","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1683","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1684","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1685","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1686","Operation Process","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1687","Operation Thread","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1688","Drug Libary Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1689","Event Logger Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1690","Scanner","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1691","Security Subsystem","Performs primary pump operation"
"SCP1692","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1693","Pump","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1694","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1695","Fault Logger","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1696","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1697","Downstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1698","ICE Bus Adapter","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP1699","Commands","The patient should receive enough drug to relieve the pain."
"SCP1700","Parameters","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1701","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1702","Pump fault manager","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1703","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1704","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1705","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1706","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1707","Operation Process","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1708","Upstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1709","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1710","Drug Reservoir","The patient should not receive so much drug that makes him unaware"
"SCP1711","Patient Button","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP1712","Safety","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1713","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1714","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1715","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1716","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1717","Alarms","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1718","Power Control","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1719","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1720","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1721","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1722","Drug Libary Thread","Performs primary pump operation"
"SCP1723","Event Logger Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1724","Scanner","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1725","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1726","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1727","Pump","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1728","Error Dector","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1729","Fault Logger","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP1730","Upstream Monitor","The patient should receive enough drug to relieve the pain."
"SCP1731","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1732","ICE Bus Adapter","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1733","Commands","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1734","Parameters","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1735","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1736","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1737","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1738","Alarms","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1739","Power Control","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1740","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1741","Operation Process","The patient should not receive so much drug that makes him unaware"
"SCP1742","Upstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP1743","Downstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1744","Drug Reservoir","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1745","Patient Button","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1746","Safety","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1747","Failture LED","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1748","Alarm Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1749","Pump fault manager","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1750","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1751","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1752","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1753","Control Panel","Performs primary pump operation"
"SCP1754","Operation Process","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1755","Operation Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1756","Drug Libary Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1757","Event Logger Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1758","Scanner","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1759","Security Subsystem","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1760","Security Subsystem","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP1761","Pump","The patient should receive enough drug to relieve the pain."
"SCP1762","Error Dector","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1763","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1764","Upstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1765","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1766","ICE Bus Adapter","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1767","Commands","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1768","Parameters","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1769","Alarm Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1770","Pump fault manager","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1771","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1772","Alarms","The patient should not receive so much drug that makes him unaware"
"SCP1773","Power Control","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP1774","Control Panel","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1775","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1776","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1777","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1778","Drug Reservoir","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1779","Patient Button","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1780","Safety","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1781","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1782","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1783","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1784","Security Status","Performs primary pump operation"
"SCP1785","Alarms","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1786","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1787","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1788","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1789","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1790","Drug Libary Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1791","Event Logger Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP1792","Scanner","The patient should receive enough drug to relieve the pain."
"SCP1793","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1794","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1795","Pump","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1796","Error Dector","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1797","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1798","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1799","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1800","ICE Bus Adapter","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1801","Commands","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1802","Parameters","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1803","Alarm Thread","The patient should not receive so much drug that makes him unaware"
"SCP1804","Pump fault manager","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP1805","Security Status","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1806","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1807","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1808","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1809","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1810","Upstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1811","Downstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1812","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1813","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1814","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1815","Failture LED","Performs primary pump operation"
"SCP1816","Alarm Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1817","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1818","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1819","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1820","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1821","Control Panel","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1822","Operation Process","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP1823","Operation Thread","The patient should receive enough drug to relieve the pain."
"SCP1824","Drug Libary Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1825","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1826","Scanner","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1827","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1828","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1829","Pump","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1830","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1831","Fault Logger","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1832","Upstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1833","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1834","ICE Bus Adapter","The patient should not receive so much drug that makes him unaware"
"SCP1835","Commands","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP1836","Parameters","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1837","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1838","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1839","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1840","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1841","Power Control","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1842","Control Panel","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1843","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1844","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1845","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1846","Drug Reservoir","Performs primary pump operation"
"SCP1847","Patient Button","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1848","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1849","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1850","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1851","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1852","Security Status","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1853","Alarms","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP1854","Power Control","The patient should receive enough drug to relieve the pain."
"SCP1855","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1856","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1857","Operation Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1858","Drug Libary Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1859","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1860","Scanner","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1861","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1862","Security Subsystem","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1863","Pump","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1864","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1865","Fault Logger","The patient should not receive so much drug that makes him unaware"
"SCP1866","Upstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP1867","Downstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1868","ICE Bus Adapter","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1869","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1870","Parameters","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1871","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1872","Pump fault manager","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1873","Security Status","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
