"CLASSNAME","DESCRIPTION","CREATEDBY","CREATEDON","VERSION","CLASSES"
"PCA1087","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-04-12","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\FilterFactory.java"
"PCA1088","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-04-12","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\GuidGenerator.java"
"PCA1089","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-04-12","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\Hex.java"
"PCA1090"," ","Caleb","2016-04-11","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\HistogramBuilder.java"
"PCA1091","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-04-11","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\IFilter.java"
"PCA1092","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-04-11","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\IMergeIterator.java"
"PCA1093","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-04-11","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\Interval.java"
"PCA1094","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-04-11","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\IntervalTree.java"
"PCA1095"," ","Alex","2016-04-11","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\JVMStabilityInspector.java"
"PCA1096","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-04-11","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\MD5Digest.java"
"PCA1097","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-04-11","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\AbstractAllocator.java"
"PCA1098","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-04-11","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\ContextAllocator.java"
"PCA1099","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-04-11","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\HeapAllocator.java"
"PCA1100"," ","Alex","2016-04-11","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\HeapPool.java"
"PCA1101","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-04-11","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\MemoryUtil.java"
"PCA1102","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-04-10","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\MemtableAllocator.java"
"PCA1103","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-04-10","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\MemtableBufferAllocator.java"
"PCA1104","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-04-10","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\MemtableCleanerThread.java"
"PCA1105"," ","Caleb","2016-04-10","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\MemtablePool.java"
"PCA1106","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-04-10","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\NativeAllocator.java"
"PCA1107","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-04-10","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\NativePool.java"
"PCA1108","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-04-10","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\SlabAllocator.java"
"PCA1109","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-04-10","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\memory\SlabPool.java"
"PCA1110"," ","Caleb","2016-04-10","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\MergeIterator.java"
"PCA1111","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-04-10","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\MerkleTree.java"
"PCA1112","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-04-10","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\MurmurHash.java"
"PCA1113","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-04-10","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\Mx4jTool.java"
"PCA1114","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-04-09","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\NanoTimeToCurrentTimeMillis.java"
"PCA1115"," ","Alex","2016-04-09","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\NativeSSTableLoaderClient.java"
"PCA1116","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-04-09","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\NoSpamLogger.java"
"PCA1117","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-04-09","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\ObjectSizes.java"
"PCA1118","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-04-09","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\obs\BitUtil.java"
"PCA1119","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-04-09","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\obs\IBitSet.java"
"PCA1120"," ","Alex","2016-04-09","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\obs\OffHeapBitSet.java"
"PCA1121","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-04-09","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\obs\OpenBitSet.java"
"PCA1122","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-04-09","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\OutputHandler.java"
"PCA1123","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-04-09","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\OverlapIterator.java"
"PCA1124","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-04-09","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\Pair.java"
"PCA1125"," ","Caleb","2016-04-09","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\progress\jmx\JMXNotificationProgressListener.java"
"PCA1126","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-04-08","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\progress\jmx\JMXProgressSupport.java"
"PCA1127","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-04-08","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\progress\ProgressEvent.java"
"PCA1128","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-04-08","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\progress\ProgressEventNotifier.java"
"PCA1129","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-04-08","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\progress\ProgressEventNotifierSupport.java"
"PCA1130"," ","Caleb","2016-04-08","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\progress\ProgressEventType.java"
"PCA1131","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-04-08","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\progress\ProgressListener.java"
"PCA1132","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-04-08","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\PureJavaCrc32.java"
"PCA1133","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-04-08","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\ResourceWatcher.java"
"PCA1134","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-04-08","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\RMIServerSocketFactoryImpl.java"
"PCA1135"," ","Alex","2016-04-08","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\SearchIterator.java"
"PCA1136","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-04-08","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\SigarLibrary.java"
"PCA1137","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-04-08","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\SortedBiMultiValMap.java"
"PCA1138","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-04-07","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\StatusLogger.java"
"PCA1139","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-04-07","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\StreamingHistogram.java"
"PCA1140"," ","Alex","2016-04-07","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\SyncUtil.java"
"PCA1141","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-04-07","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\Throwables.java"
"PCA1142","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-04-07","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\TopKSampler.java"
"PCA1143","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-04-07","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\UUIDGen.java"
"PCA1144","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-04-07","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\UUIDSerializer.java"
"PCA1145"," ","Caleb","2016-04-07","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\vint\EncodedDataInputStream.java"
"PCA1146","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-04-07","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\vint\EncodedDataOutputStream.java"
"PCA1147","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-04-07","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\WindowsTimer.java"
"PCA1148","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-04-07","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\WrappedRunnable.java"
"PCA1149","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-04-07","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AllowAllAuthenticator.java"
"PCA1150"," ","Caleb","2016-04-06","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AllowAllAuthorizer.java"
"PCA1151","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-04-06","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AllowAllInternodeAuthenticator.java"
"PCA1152","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-04-06","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AuthenticatedUser.java"
"PCA1153","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-04-06","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AuthKeyspace.java"
"PCA1154","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-04-06","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AuthMigrationListener.java"
"PCA1155"," ","Alex","2016-04-06","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\CassandraAuthorizer.java"
"PCA1156","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-04-06","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\CassandraRoleManager.java"
"PCA1157","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-04-06","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\DataResource.java"
"PCA1158","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-04-06","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\FunctionResource.java"
"PCA1159","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-04-06","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\IAuthenticator.java"
"PCA1160"," ","Alex","2016-04-06","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\IAuthorizer.java"
"PCA1161","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-04-06","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\IInternodeAuthenticator.java"
"PCA1162","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-04-05","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\IResource.java"
"PCA1163","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-04-05","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\IRoleManager.java"
"PCA1164","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-04-05","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\PasswordAuthenticator.java"
"PCA1165"," ","Caleb","2016-04-05","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\Permission.java"
"PCA1166","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-04-05","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\PermissionDetails.java"
"PCA1167","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-04-05","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\PermissionsCache.java"
"PCA1168","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-04-05","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\PermissionsCacheMBean.java"
"PCA1169","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-04-05","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\Resources.java"
"PCA1170"," ","Caleb","2016-04-05","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\RoleOptions.java"
"PCA1171","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-04-05","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\RoleResource.java"
"PCA1172","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-04-05","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\Roles.java"
"PCA1173","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-04-05","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\RolesCache.java"
"PCA1174","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-04-04","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\RolesCacheMBean.java"
"PCA1175"," ","Alex","2016-04-04","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\AutoSavingCache.java"
"PCA1176","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-04-04","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\CacheKey.java"
"PCA1177","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-04-04","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\CacheProvider.java"
"PCA1178","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-04-04","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\CachingOptions.java"
"PCA1179","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-04-04","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\ConcurrentLinkedHashCache.java"
"PCA1180"," ","Alex","2016-04-04","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\CounterCacheKey.java"
"PCA1181","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-04-04","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\ICache.java"
"PCA1182","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-04-04","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\IMeasurableMemory.java"
"PCA1183","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-04-04","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\InstrumentingCache.java"
"PCA1184","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-04-04","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\IRowCacheEntry.java"
"PCA1185"," ","Caleb","2016-04-04","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\KeyCacheKey.java"
"PCA1186","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-04-03","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\NopCacheProvider.java"
"PCA1187","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-04-03","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\OHCProvider.java"
"PCA1188","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-04-03","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\RefCountedMemory.java"
"PCA1189","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-04-03","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\RowCacheKey.java"
"PCA1190"," ","Caleb","2016-04-03","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\RowCacheSentinel.java"
"PCA1191","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-04-03","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\SerializingCache.java"
"PCA1192","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-04-03","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\SerializingCacheProvider.java"
"PCA1193","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-04-03","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\client\RingCache.java"
"PCA1194","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-04-03","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\AbstractTracingAwareExecutorService.java"
"PCA1195"," ","Alex","2016-04-03","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\DebuggableScheduledThreadPoolExecutor.java"
"PCA1196","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-04-03","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\DebuggableThreadPoolExecutor.java"
"PCA1197","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-04-03","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXConfigurableThreadPoolExecutor.java"
"PCA1198","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-04-02","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXConfigurableThreadPoolExecutorMBean.java"
"PCA1199","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-04-02","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXEnabledScheduledThreadPoolExecutor.java"
"PCA1200"," ","Alex","2016-04-02","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXEnabledScheduledThreadPoolExecutorMBean.java"
"PCA1201","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-04-02","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXEnabledThreadPoolExecutor.java"
"PCA1202","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-04-02","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXEnabledThreadPoolExecutorMBean.java"
"PCA1203","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-04-02","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\NamedThreadFactory.java"
"PCA1204","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-04-02","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\ScheduledExecutors.java"
"PCA1205"," ","Caleb","2016-04-02","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\SEPExecutor.java"
"PCA1206","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-04-02","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\SEPWorker.java"
"PCA1207","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-04-02","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\SharedExecutorPool.java"
"PCA1208","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-04-02","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\Stage.java"
"PCA1209","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-04-02","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\StageManager.java"
"PCA1210"," ","Caleb","2016-04-01","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\TracingAwareExecutorService.java"
"PCA1211","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-04-01","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\CFMetaData.java"
"PCA1212","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-04-01","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\ColumnDefinition.java"
"PCA1213","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-04-01","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\Config.java"
"PCA1214","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-04-01","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\ConfigurationLoader.java"
"PCA1215"," ","Alex","2016-04-01","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\DatabaseDescriptor.java"
"PCA1216","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-04-01","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\EncryptionOptions.java"
"PCA1217","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-04-01","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\IndexType.java"
"PCA1218","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-04-01","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\KSMetaData.java"
"PCA1219","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-04-01","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\ParameterizedClass.java"
"PCA1220"," ","Alex","2016-04-01","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\ReadRepairDecision.java"
"PCA1221","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-04-01","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\RequestSchedulerOptions.java"
