"EXCEPTIONCASESTEPID","DESCRIPTION"
"ECS4802","blockage between pump and patient"
"ECS4803","blockage between reservoir and pump"
"ECS4804","bubble detection"
"ECS4805","dose reaches maximum allowed by drug library"
"ECS4806","clinician not authorized to operate pump"
"ECS4807","basal rate or bolus VTBI exceeded hard limit"
"ECS4808","power-on self test fails"
"ECS4809","PCA pump detects its own failure"
"ECS4810","pump fails to prime after loading drug reservoir"
"ECS4811","measured flow rate exceeds setting"
"ECS4812","measured flow rate below setting"
"ECS4813","pump temperature exceeds 55 C"
"ECS4814","ng drug reservoir"
"ECS4815","measured flow rate exceeds setting"
"ECS4816","patient not admitted to hospital"
"ECS4817","drug or prescription not intended for this patient"
"ECS4818","no audible alarm"
"ECS4819","indication of no ICE alarms enabled"
"ECS4820","Bolus request denied because minimum time between boluses had not elapsed."
"ECS4821","blockage between pump and patient"
"ECS4822","blockage between reservoir and pump"
"ECS4823","bubble detection"
"ECS4824","dose reaches maximum allowed by drug library"
"ECS4825","clinician not authorized to operate pump"
"ECS4826","patient not admitted to hospital"
"ECS4827","the drug libary fails authenticity or integrity check"
"ECS4828","basal rate or bolus VTBI exceeded soft limit"
"ECS4829","measured flow rate below setting"
"ECS4830","pump temperature exceeds 55 C"
"ECS4831","Bolus request denied because minimum time between boluses had not elapsed."
"ECS4832","blockage between pump and patient"
"ECS4833","blockage between reservoir and pump"
"ECS4834","bubble detection"
"ECS4835","dose reaches maximum allowed by drug library"
"ECS4836","clinician not authorized to operate pump"
"ECS4837","basal rate or bolus VTBI exceeded hard limit"
"ECS4838","power-on self test fails"
"ECS4839","PCA pump detects its own failure"
"ECS4840","pump fails to prime after loading drug reservoir"
"ECS4841","measured flow rate exceeds setting"
"ECS4842","measured flow rate below setting"
"ECS4843","pump temperature exceeds 55 C"
"ECS4844","ng drug reservoir"
"ECS4845","measured flow rate exceeds setting"
"ECS4846","patient not admitted to hospital"
"ECS4847","drug or prescription not intended for this patient"
"ECS4848","no audible alarm"
"ECS4849","indication of no ICE alarms enabled"
"ECS4850","Bolus request denied because minimum time between boluses had not elapsed."
"ECS4851","blockage between pump and patient"
"ECS4852","blockage between reservoir and pump"
"ECS4853","bubble detection"
"ECS4854","dose reaches maximum allowed by drug library"
"ECS4855","clinician not authorized to operate pump"
"ECS4856","patient not admitted to hospital"
"ECS4857","the drug libary fails authenticity or integrity check"
"ECS4858","basal rate or bolus VTBI exceeded soft limit"
"ECS4859","measured flow rate below setting"
"ECS4860","pump temperature exceeds 55 C"
"ECS4861","Bolus request denied because minimum time between boluses had not elapsed."
"ECS4862","blockage between pump and patient"
"ECS4863","blockage between reservoir and pump"
"ECS4864","bubble detection"
"ECS4865","dose reaches maximum allowed by drug library"
"ECS4866","clinician not authorized to operate pump"
"ECS4867","basal rate or bolus VTBI exceeded hard limit"
"ECS4868","power-on self test fails"
"ECS4869","PCA pump detects its own failure"
"ECS4870","pump fails to prime after loading drug reservoir"
"ECS4871","measured flow rate exceeds setting"
"ECS4872","measured flow rate below setting"
"ECS4873","pump temperature exceeds 55 C"
"ECS4874","ng drug reservoir"
"ECS4875","measured flow rate exceeds setting"
"ECS4876","patient not admitted to hospital"
"ECS4877","drug or prescription not intended for this patient"
"ECS4878","no audible alarm"
"ECS4879","indication of no ICE alarms enabled"
"ECS4880","Bolus request denied because minimum time between boluses had not elapsed."
"ECS4881","blockage between pump and patient"
"ECS4882","blockage between reservoir and pump"
"ECS4883","bubble detection"
"ECS4884","dose reaches maximum allowed by drug library"
"ECS4885","clinician not authorized to operate pump"
"ECS4886","patient not admitted to hospital"
"ECS4887","the drug libary fails authenticity or integrity check"
"ECS4888","basal rate or bolus VTBI exceeded soft limit"
"ECS4889","measured flow rate below setting"
"ECS4890","pump temperature exceeds 55 C"
"ECS4891","Bolus request denied because minimum time between boluses had not elapsed."
"ECS4892","blockage between pump and patient"
"ECS4893","blockage between reservoir and pump"
"ECS4894","bubble detection"
"ECS4895","dose reaches maximum allowed by drug library"
"ECS4896","clinician not authorized to operate pump"
"ECS4897","basal rate or bolus VTBI exceeded hard limit"
"ECS4898","power-on self test fails"
"ECS4899","PCA pump detects its own failure"
"ECS4900","pump fails to prime after loading drug reservoir"
"ECS4901","measured flow rate exceeds setting"
"ECS4902","measured flow rate below setting"
"ECS4903","pump temperature exceeds 55 C"
"ECS4904","ng drug reservoir"
"ECS4905","measured flow rate exceeds setting"
"ECS4906","patient not admitted to hospital"
"ECS4907","drug or prescription not intended for this patient"
"ECS4908","no audible alarm"
"ECS4909","indication of no ICE alarms enabled"
"ECS4910","Bolus request denied because minimum time between boluses had not elapsed."
"ECS4911","blockage between pump and patient"
"ECS4912","blockage between reservoir and pump"
"ECS4913","bubble detection"
"ECS4914","dose reaches maximum allowed by drug library"
"ECS4915","clinician not authorized to operate pump"
"ECS4916","patient not admitted to hospital"
"ECS4917","the drug libary fails authenticity or integrity check"
"ECS4918","basal rate or bolus VTBI exceeded soft limit"
"ECS4919","measured flow rate below setting"
"ECS4920","pump temperature exceeds 55 C"
"ECS4921","Bolus request denied because minimum time between boluses had not elapsed."
"ECS4922","blockage between pump and patient"
"ECS4923","blockage between reservoir and pump"
"ECS4924","bubble detection"
"ECS4925","dose reaches maximum allowed by drug library"
"ECS4926","clinician not authorized to operate pump"
"ECS4927","basal rate or bolus VTBI exceeded hard limit"
"ECS4928","power-on self test fails"
"ECS4929","PCA pump detects its own failure"
"ECS4930","pump fails to prime after loading drug reservoir"
"ECS4931","measured flow rate exceeds setting"
"ECS4932","measured flow rate below setting"
"ECS4933","pump temperature exceeds 55 C"
"ECS4934","ng drug reservoir"
"ECS4935","measured flow rate exceeds setting"
"ECS4936","patient not admitted to hospital"
"ECS4937","drug or prescription not intended for this patient"
"ECS4938","no audible alarm"
"ECS4939","indication of no ICE alarms enabled"
"ECS4940","Bolus request denied because minimum time between boluses had not elapsed."
"ECS4941","blockage between pump and patient"
"ECS4942","blockage between reservoir and pump"
"ECS4943","bubble detection"
"ECS4944","dose reaches maximum allowed by drug library"
"ECS4945","clinician not authorized to operate pump"
"ECS4946","patient not admitted to hospital"
"ECS4947","the drug libary fails authenticity or integrity check"
"ECS4948","basal rate or bolus VTBI exceeded soft limit"
"ECS4949","measured flow rate below setting"
"ECS4950","pump temperature exceeds 55 C"
"ECS4951","Bolus request denied because minimum time between boluses had not elapsed."
"ECS4952","blockage between pump and patient"
"ECS4953","blockage between reservoir and pump"
"ECS4954","bubble detection"
"ECS4955","dose reaches maximum allowed by drug library"
"ECS4956","clinician not authorized to operate pump"
"ECS4957","basal rate or bolus VTBI exceeded hard limit"
"ECS4958","power-on self test fails"
"ECS4959","PCA pump detects its own failure"
"ECS4960","pump fails to prime after loading drug reservoir"
"ECS4961","measured flow rate exceeds setting"
"ECS4962","measured flow rate below setting"
"ECS4963","pump temperature exceeds 55 C"
"ECS4964","ng drug reservoir"
"ECS4965","measured flow rate exceeds setting"
"ECS4966","patient not admitted to hospital"
"ECS4967","drug or prescription not intended for this patient"
"ECS4968","no audible alarm"
"ECS4969","indication of no ICE alarms enabled"
"ECS4970","Bolus request denied because minimum time between boluses had not elapsed."
"ECS4971","blockage between pump and patient"
"ECS4972","blockage between reservoir and pump"
"ECS4973","bubble detection"
"ECS4974","dose reaches maximum allowed by drug library"
"ECS4975","clinician not authorized to operate pump"
"ECS4976","patient not admitted to hospital"
"ECS4977","the drug libary fails authenticity or integrity check"
"ECS4978","basal rate or bolus VTBI exceeded soft limit"
"ECS4979","measured flow rate below setting"
"ECS4980","pump temperature exceeds 55 C"
"ECS4981","Bolus request denied because minimum time between boluses had not elapsed."
"ECS4982","blockage between pump and patient"
"ECS4983","blockage between reservoir and pump"
"ECS4984","bubble detection"
"ECS4985","dose reaches maximum allowed by drug library"
"ECS4986","clinician not authorized to operate pump"
"ECS4987","basal rate or bolus VTBI exceeded hard limit"
"ECS4988","power-on self test fails"
"ECS4989","PCA pump detects its own failure"
"ECS4990","pump fails to prime after loading drug reservoir"
"ECS4991","measured flow rate exceeds setting"
"ECS4992","measured flow rate below setting"
"ECS4993","pump temperature exceeds 55 C"
"ECS4994","ng drug reservoir"
"ECS4995","measured flow rate exceeds setting"
"ECS4996","patient not admitted to hospital"
"ECS4997","drug or prescription not intended for this patient"
"ECS4998","no audible alarm"
"ECS4999","indication of no ICE alarms enabled"
"ECS5000","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5001","blockage between pump and patient"
"ECS5002","blockage between reservoir and pump"
"ECS5003","bubble detection"
"ECS5004","dose reaches maximum allowed by drug library"
"ECS5005","clinician not authorized to operate pump"
"ECS5006","patient not admitted to hospital"
"ECS5007","the drug libary fails authenticity or integrity check"
"ECS5008","basal rate or bolus VTBI exceeded soft limit"
"ECS5009","measured flow rate below setting"
"ECS5010","pump temperature exceeds 55 C"
"ECS5011","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5012","blockage between pump and patient"
"ECS5013","blockage between reservoir and pump"
"ECS5014","bubble detection"
"ECS5015","dose reaches maximum allowed by drug library"
"ECS5016","clinician not authorized to operate pump"
"ECS5017","basal rate or bolus VTBI exceeded hard limit"
"ECS5018","power-on self test fails"
"ECS5019","PCA pump detects its own failure"
"ECS5020","pump fails to prime after loading drug reservoir"
"ECS5021","measured flow rate exceeds setting"
"ECS5022","measured flow rate below setting"
"ECS5023","pump temperature exceeds 55 C"
"ECS5024","ng drug reservoir"
"ECS5025","measured flow rate exceeds setting"
"ECS5026","patient not admitted to hospital"
"ECS5027","drug or prescription not intended for this patient"
"ECS5028","no audible alarm"
"ECS5029","indication of no ICE alarms enabled"
"ECS5030","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5031","blockage between pump and patient"
"ECS5032","blockage between reservoir and pump"
"ECS5033","bubble detection"
"ECS5034","dose reaches maximum allowed by drug library"
"ECS5035","clinician not authorized to operate pump"
"ECS5036","patient not admitted to hospital"
"ECS5037","the drug libary fails authenticity or integrity check"
"ECS5038","basal rate or bolus VTBI exceeded soft limit"
"ECS5039","measured flow rate below setting"
"ECS5040","pump temperature exceeds 55 C"
"ECS5041","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5042","blockage between pump and patient"
"ECS5043","blockage between reservoir and pump"
"ECS5044","bubble detection"
"ECS5045","dose reaches maximum allowed by drug library"
"ECS5046","clinician not authorized to operate pump"
"ECS5047","basal rate or bolus VTBI exceeded hard limit"
"ECS5048","power-on self test fails"
"ECS5049","PCA pump detects its own failure"
"ECS5050","pump fails to prime after loading drug reservoir"
"ECS5051","measured flow rate exceeds setting"
"ECS5052","measured flow rate below setting"
"ECS5053","pump temperature exceeds 55 C"
"ECS5054","ng drug reservoir"
"ECS5055","measured flow rate exceeds setting"
"ECS5056","patient not admitted to hospital"
"ECS5057","drug or prescription not intended for this patient"
"ECS5058","no audible alarm"
"ECS5059","indication of no ICE alarms enabled"
"ECS5060","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5061","blockage between pump and patient"
"ECS5062","blockage between reservoir and pump"
"ECS5063","bubble detection"
"ECS5064","dose reaches maximum allowed by drug library"
"ECS5065","clinician not authorized to operate pump"
"ECS5066","patient not admitted to hospital"
"ECS5067","the drug libary fails authenticity or integrity check"
"ECS5068","basal rate or bolus VTBI exceeded soft limit"
"ECS5069","measured flow rate below setting"
"ECS5070","pump temperature exceeds 55 C"
"ECS5071","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5072","blockage between pump and patient"
"ECS5073","blockage between reservoir and pump"
"ECS5074","bubble detection"
"ECS5075","dose reaches maximum allowed by drug library"
"ECS5076","clinician not authorized to operate pump"
"ECS5077","basal rate or bolus VTBI exceeded hard limit"
"ECS5078","power-on self test fails"
"ECS5079","PCA pump detects its own failure"
"ECS5080","pump fails to prime after loading drug reservoir"
"ECS5081","measured flow rate exceeds setting"
"ECS5082","measured flow rate below setting"
"ECS5083","pump temperature exceeds 55 C"
"ECS5084","ng drug reservoir"
"ECS5085","measured flow rate exceeds setting"
"ECS5086","patient not admitted to hospital"
"ECS5087","drug or prescription not intended for this patient"
"ECS5088","no audible alarm"
"ECS5089","indication of no ICE alarms enabled"
"ECS5090","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5091","blockage between pump and patient"
"ECS5092","blockage between reservoir and pump"
"ECS5093","bubble detection"
"ECS5094","dose reaches maximum allowed by drug library"
"ECS5095","clinician not authorized to operate pump"
"ECS5096","patient not admitted to hospital"
"ECS5097","the drug libary fails authenticity or integrity check"
"ECS5098","basal rate or bolus VTBI exceeded soft limit"
"ECS5099","measured flow rate below setting"
"ECS5100","pump temperature exceeds 55 C"
"ECS5101","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5102","blockage between pump and patient"
"ECS5103","blockage between reservoir and pump"
"ECS5104","bubble detection"
"ECS5105","dose reaches maximum allowed by drug library"
"ECS5106","clinician not authorized to operate pump"
"ECS5107","basal rate or bolus VTBI exceeded hard limit"
"ECS5108","power-on self test fails"
"ECS5109","PCA pump detects its own failure"
"ECS5110","pump fails to prime after loading drug reservoir"
"ECS5111","measured flow rate exceeds setting"
"ECS5112","measured flow rate below setting"
"ECS5113","pump temperature exceeds 55 C"
"ECS5114","ng drug reservoir"
"ECS5115","measured flow rate exceeds setting"
"ECS5116","patient not admitted to hospital"
"ECS5117","drug or prescription not intended for this patient"
"ECS5118","no audible alarm"
"ECS5119","indication of no ICE alarms enabled"
"ECS5120","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5121","blockage between pump and patient"
"ECS5122","blockage between reservoir and pump"
"ECS5123","bubble detection"
"ECS5124","dose reaches maximum allowed by drug library"
"ECS5125","clinician not authorized to operate pump"
"ECS5126","patient not admitted to hospital"
"ECS5127","the drug libary fails authenticity or integrity check"
"ECS5128","basal rate or bolus VTBI exceeded soft limit"
"ECS5129","measured flow rate below setting"
"ECS5130","pump temperature exceeds 55 C"
"ECS5131","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5132","blockage between pump and patient"
"ECS5133","blockage between reservoir and pump"
"ECS5134","bubble detection"
"ECS5135","dose reaches maximum allowed by drug library"
"ECS5136","clinician not authorized to operate pump"
"ECS5137","basal rate or bolus VTBI exceeded hard limit"
"ECS5138","power-on self test fails"
"ECS5139","PCA pump detects its own failure"
"ECS5140","pump fails to prime after loading drug reservoir"
"ECS5141","measured flow rate exceeds setting"
"ECS5142","measured flow rate below setting"
"ECS5143","pump temperature exceeds 55 C"
"ECS5144","ng drug reservoir"
"ECS5145","measured flow rate exceeds setting"
"ECS5146","patient not admitted to hospital"
"ECS5147","drug or prescription not intended for this patient"
"ECS5148","no audible alarm"
"ECS5149","indication of no ICE alarms enabled"
"ECS5150","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5151","blockage between pump and patient"
"ECS5152","blockage between reservoir and pump"
"ECS5153","bubble detection"
"ECS5154","dose reaches maximum allowed by drug library"
"ECS5155","clinician not authorized to operate pump"
"ECS5156","patient not admitted to hospital"
"ECS5157","the drug libary fails authenticity or integrity check"
"ECS5158","basal rate or bolus VTBI exceeded soft limit"
"ECS5159","measured flow rate below setting"
"ECS5160","pump temperature exceeds 55 C"
"ECS5161","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5162","blockage between pump and patient"
"ECS5163","blockage between reservoir and pump"
"ECS5164","bubble detection"
"ECS5165","dose reaches maximum allowed by drug library"
"ECS5166","clinician not authorized to operate pump"
"ECS5167","basal rate or bolus VTBI exceeded hard limit"
"ECS5168","power-on self test fails"
"ECS5169","PCA pump detects its own failure"
"ECS5170","pump fails to prime after loading drug reservoir"
"ECS5171","measured flow rate exceeds setting"
"ECS5172","measured flow rate below setting"
"ECS5173","pump temperature exceeds 55 C"
"ECS5174","ng drug reservoir"
"ECS5175","measured flow rate exceeds setting"
"ECS5176","patient not admitted to hospital"
"ECS5177","drug or prescription not intended for this patient"
"ECS5178","no audible alarm"
"ECS5179","indication of no ICE alarms enabled"
"ECS5180","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5181","blockage between pump and patient"
"ECS5182","blockage between reservoir and pump"
"ECS5183","bubble detection"
"ECS5184","dose reaches maximum allowed by drug library"
"ECS5185","clinician not authorized to operate pump"
"ECS5186","patient not admitted to hospital"
"ECS5187","the drug libary fails authenticity or integrity check"
"ECS5188","basal rate or bolus VTBI exceeded soft limit"
"ECS5189","measured flow rate below setting"
"ECS5190","pump temperature exceeds 55 C"
"ECS5191","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5192","blockage between pump and patient"
"ECS5193","blockage between reservoir and pump"
"ECS5194","bubble detection"
"ECS5195","dose reaches maximum allowed by drug library"
"ECS5196","clinician not authorized to operate pump"
"ECS5197","basal rate or bolus VTBI exceeded hard limit"
"ECS5198","power-on self test fails"
"ECS5199","PCA pump detects its own failure"
"ECS5200","pump fails to prime after loading drug reservoir"
"ECS5201","measured flow rate exceeds setting"
"ECS5202","measured flow rate below setting"
"ECS5203","pump temperature exceeds 55 C"
"ECS5204","ng drug reservoir"
"ECS5205","measured flow rate exceeds setting"
"ECS5206","patient not admitted to hospital"
"ECS5207","drug or prescription not intended for this patient"
"ECS5208","no audible alarm"
"ECS5209","indication of no ICE alarms enabled"
"ECS5210","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5211","blockage between pump and patient"
"ECS5212","blockage between reservoir and pump"
"ECS5213","bubble detection"
"ECS5214","dose reaches maximum allowed by drug library"
"ECS5215","clinician not authorized to operate pump"
"ECS5216","patient not admitted to hospital"
"ECS5217","the drug libary fails authenticity or integrity check"
"ECS5218","basal rate or bolus VTBI exceeded soft limit"
"ECS5219","measured flow rate below setting"
"ECS5220","pump temperature exceeds 55 C"
"ECS5221","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5222","blockage between pump and patient"
"ECS5223","blockage between reservoir and pump"
"ECS5224","bubble detection"
"ECS5225","dose reaches maximum allowed by drug library"
"ECS5226","clinician not authorized to operate pump"
"ECS5227","basal rate or bolus VTBI exceeded hard limit"
"ECS5228","power-on self test fails"
"ECS5229","PCA pump detects its own failure"
"ECS5230","pump fails to prime after loading drug reservoir"
"ECS5231","measured flow rate exceeds setting"
"ECS5232","measured flow rate below setting"
"ECS5233","pump temperature exceeds 55 C"
"ECS5234","ng drug reservoir"
"ECS5235","measured flow rate exceeds setting"
"ECS5236","patient not admitted to hospital"
"ECS5237","drug or prescription not intended for this patient"
"ECS5238","no audible alarm"
"ECS5239","indication of no ICE alarms enabled"
"ECS5240","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5241","blockage between pump and patient"
"ECS5242","blockage between reservoir and pump"
"ECS5243","bubble detection"
"ECS5244","dose reaches maximum allowed by drug library"
"ECS5245","clinician not authorized to operate pump"
"ECS5246","patient not admitted to hospital"
"ECS5247","the drug libary fails authenticity or integrity check"
"ECS5248","basal rate or bolus VTBI exceeded soft limit"
"ECS5249","measured flow rate below setting"
"ECS5250","pump temperature exceeds 55 C"
"ECS5251","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5252","blockage between pump and patient"
"ECS5253","blockage between reservoir and pump"
"ECS5254","bubble detection"
"ECS5255","dose reaches maximum allowed by drug library"
"ECS5256","clinician not authorized to operate pump"
"ECS5257","basal rate or bolus VTBI exceeded hard limit"
"ECS5258","power-on self test fails"
"ECS5259","PCA pump detects its own failure"
"ECS5260","pump fails to prime after loading drug reservoir"
"ECS5261","measured flow rate exceeds setting"
"ECS5262","measured flow rate below setting"
"ECS5263","pump temperature exceeds 55 C"
"ECS5264","ng drug reservoir"
"ECS5265","measured flow rate exceeds setting"
"ECS5266","patient not admitted to hospital"
"ECS5267","drug or prescription not intended for this patient"
"ECS5268","no audible alarm"
"ECS5269","indication of no ICE alarms enabled"
"ECS5270","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5271","blockage between pump and patient"
"ECS5272","blockage between reservoir and pump"
"ECS5273","bubble detection"
"ECS5274","dose reaches maximum allowed by drug library"
"ECS5275","clinician not authorized to operate pump"
"ECS5276","patient not admitted to hospital"
"ECS5277","the drug libary fails authenticity or integrity check"
"ECS5278","basal rate or bolus VTBI exceeded soft limit"
"ECS5279","measured flow rate below setting"
"ECS5280","pump temperature exceeds 55 C"
"ECS5281","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5282","blockage between pump and patient"
"ECS5283","blockage between reservoir and pump"
"ECS5284","bubble detection"
"ECS5285","dose reaches maximum allowed by drug library"
"ECS5286","clinician not authorized to operate pump"
"ECS5287","basal rate or bolus VTBI exceeded hard limit"
"ECS5288","power-on self test fails"
"ECS5289","PCA pump detects its own failure"
"ECS5290","pump fails to prime after loading drug reservoir"
"ECS5291","measured flow rate exceeds setting"
"ECS5292","measured flow rate below setting"
"ECS5293","pump temperature exceeds 55 C"
"ECS5294","ng drug reservoir"
"ECS5295","measured flow rate exceeds setting"
"ECS5296","patient not admitted to hospital"
"ECS5297","drug or prescription not intended for this patient"
"ECS5298","no audible alarm"
"ECS5299","indication of no ICE alarms enabled"
"ECS5300","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5301","blockage between pump and patient"
"ECS5302","blockage between reservoir and pump"
"ECS5303","bubble detection"
"ECS5304","dose reaches maximum allowed by drug library"
"ECS5305","clinician not authorized to operate pump"
"ECS5306","patient not admitted to hospital"
"ECS5307","the drug libary fails authenticity or integrity check"
"ECS5308","basal rate or bolus VTBI exceeded soft limit"
"ECS5309","measured flow rate below setting"
"ECS5310","pump temperature exceeds 55 C"
"ECS5311","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5312","blockage between pump and patient"
"ECS5313","blockage between reservoir and pump"
"ECS5314","bubble detection"
"ECS5315","dose reaches maximum allowed by drug library"
"ECS5316","clinician not authorized to operate pump"
"ECS5317","basal rate or bolus VTBI exceeded hard limit"
"ECS5318","power-on self test fails"
"ECS5319","PCA pump detects its own failure"
"ECS5320","pump fails to prime after loading drug reservoir"
"ECS5321","measured flow rate exceeds setting"
"ECS5322","measured flow rate below setting"
"ECS5323","pump temperature exceeds 55 C"
"ECS5324","ng drug reservoir"
"ECS5325","measured flow rate exceeds setting"
"ECS5326","patient not admitted to hospital"
"ECS5327","drug or prescription not intended for this patient"
"ECS5328","no audible alarm"
"ECS5329","indication of no ICE alarms enabled"
"ECS5330","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5331","blockage between pump and patient"
"ECS5332","blockage between reservoir and pump"
"ECS5333","bubble detection"
"ECS5334","dose reaches maximum allowed by drug library"
"ECS5335","clinician not authorized to operate pump"
"ECS5336","patient not admitted to hospital"
"ECS5337","the drug libary fails authenticity or integrity check"
"ECS5338","basal rate or bolus VTBI exceeded soft limit"
"ECS5339","measured flow rate below setting"
"ECS5340","pump temperature exceeds 55 C"
"ECS5341","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5342","blockage between pump and patient"
"ECS5343","blockage between reservoir and pump"
"ECS5344","bubble detection"
"ECS5345","dose reaches maximum allowed by drug library"
"ECS5346","clinician not authorized to operate pump"
"ECS5347","basal rate or bolus VTBI exceeded hard limit"
"ECS5348","power-on self test fails"
"ECS5349","PCA pump detects its own failure"
"ECS5350","pump fails to prime after loading drug reservoir"
"ECS5351","measured flow rate exceeds setting"
"ECS5352","measured flow rate below setting"
"ECS5353","pump temperature exceeds 55 C"
"ECS5354","ng drug reservoir"
"ECS5355","measured flow rate exceeds setting"
"ECS5356","patient not admitted to hospital"
"ECS5357","drug or prescription not intended for this patient"
"ECS5358","no audible alarm"
"ECS5359","indication of no ICE alarms enabled"
"ECS5360","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5361","blockage between pump and patient"
"ECS5362","blockage between reservoir and pump"
"ECS5363","bubble detection"
"ECS5364","dose reaches maximum allowed by drug library"
"ECS5365","clinician not authorized to operate pump"
"ECS5366","patient not admitted to hospital"
"ECS5367","the drug libary fails authenticity or integrity check"
"ECS5368","basal rate or bolus VTBI exceeded soft limit"
"ECS5369","measured flow rate below setting"
"ECS5370","pump temperature exceeds 55 C"
"ECS5371","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5372","blockage between pump and patient"
"ECS5373","blockage between reservoir and pump"
"ECS5374","bubble detection"
"ECS5375","dose reaches maximum allowed by drug library"
"ECS5376","clinician not authorized to operate pump"
"ECS5377","basal rate or bolus VTBI exceeded hard limit"
"ECS5378","power-on self test fails"
"ECS5379","PCA pump detects its own failure"
"ECS5380","pump fails to prime after loading drug reservoir"
"ECS5381","measured flow rate exceeds setting"
"ECS5382","measured flow rate below setting"
"ECS5383","pump temperature exceeds 55 C"
"ECS5384","ng drug reservoir"
"ECS5385","measured flow rate exceeds setting"
"ECS5386","patient not admitted to hospital"
"ECS5387","drug or prescription not intended for this patient"
"ECS5388","no audible alarm"
"ECS5389","indication of no ICE alarms enabled"
"ECS5390","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5391","blockage between pump and patient"
"ECS5392","blockage between reservoir and pump"
"ECS5393","bubble detection"
"ECS5394","dose reaches maximum allowed by drug library"
"ECS5395","clinician not authorized to operate pump"
"ECS5396","patient not admitted to hospital"
"ECS5397","the drug libary fails authenticity or integrity check"
"ECS5398","basal rate or bolus VTBI exceeded soft limit"
"ECS5399","measured flow rate below setting"
"ECS5400","pump temperature exceeds 55 C"
"ECS5401","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5402","blockage between pump and patient"
"ECS5403","blockage between reservoir and pump"
"ECS5404","bubble detection"
"ECS5405","dose reaches maximum allowed by drug library"
"ECS5406","clinician not authorized to operate pump"
"ECS5407","basal rate or bolus VTBI exceeded hard limit"
"ECS5408","power-on self test fails"
"ECS5409","PCA pump detects its own failure"
"ECS5410","pump fails to prime after loading drug reservoir"
"ECS5411","measured flow rate exceeds setting"
"ECS5412","measured flow rate below setting"
"ECS5413","pump temperature exceeds 55 C"
"ECS5414","ng drug reservoir"
"ECS5415","measured flow rate exceeds setting"
"ECS5416","patient not admitted to hospital"
"ECS5417","drug or prescription not intended for this patient"
"ECS5418","no audible alarm"
"ECS5419","indication of no ICE alarms enabled"
"ECS5420","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5421","blockage between pump and patient"
"ECS5422","blockage between reservoir and pump"
"ECS5423","bubble detection"
"ECS5424","dose reaches maximum allowed by drug library"
"ECS5425","clinician not authorized to operate pump"
"ECS5426","patient not admitted to hospital"
"ECS5427","the drug libary fails authenticity or integrity check"
"ECS5428","basal rate or bolus VTBI exceeded soft limit"
"ECS5429","measured flow rate below setting"
"ECS5430","pump temperature exceeds 55 C"
"ECS5431","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5432","blockage between pump and patient"
"ECS5433","blockage between reservoir and pump"
"ECS5434","bubble detection"
"ECS5435","dose reaches maximum allowed by drug library"
"ECS5436","clinician not authorized to operate pump"
"ECS5437","basal rate or bolus VTBI exceeded hard limit"
"ECS5438","power-on self test fails"
"ECS5439","PCA pump detects its own failure"
"ECS5440","pump fails to prime after loading drug reservoir"
"ECS5441","measured flow rate exceeds setting"
"ECS5442","measured flow rate below setting"
"ECS5443","pump temperature exceeds 55 C"
"ECS5444","ng drug reservoir"
"ECS5445","measured flow rate exceeds setting"
"ECS5446","patient not admitted to hospital"
"ECS5447","drug or prescription not intended for this patient"
"ECS5448","no audible alarm"
"ECS5449","indication of no ICE alarms enabled"
"ECS5450","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5451","blockage between pump and patient"
"ECS5452","blockage between reservoir and pump"
"ECS5453","bubble detection"
"ECS5454","dose reaches maximum allowed by drug library"
"ECS5455","clinician not authorized to operate pump"
"ECS5456","patient not admitted to hospital"
"ECS5457","the drug libary fails authenticity or integrity check"
"ECS5458","basal rate or bolus VTBI exceeded soft limit"
"ECS5459","measured flow rate below setting"
"ECS5460","pump temperature exceeds 55 C"
