"COMPONENTID","CLASSNAME"
"CP5112","PCA3099"
"CP7747","PCA3099"
"CP2379","PCA7947"
"CP6937","PCA7947"
"CP2566","PCA7947"
"CP2379","PCA3713"
"CP6937","PCA3713"
"CP2566","PCA3713"
"CP2379","PCA5586"
"CP6937","PCA5586"
"CP2566","PCA5586"
"CP53","PCA327"
"CP53","PCA7306"
"CP53","PCA3662"
"CP10","PCA45"
"CP8636","PCA9891"
"CP7621","PCA9891"
"CP7280","PCA9891"
"CP8636","PCA739"
"CP7621","PCA739"
"CP7280","PCA739"
"CP8636","PCA9210"
"CP7621","PCA9210"
"CP7280","PCA9210"
"CP13","PCA55"
"CP50","PCA2351"
"CP50","PCA7225"
"CP50","PCA9881"
"CP1137","PCA58"
"CP384","PCA58"
"CP531","PCA58"
"CP17","PCA58"
"CP69","PCA38"
"CP69","PCA846"
"CP69","PCA8615"
"CP28","PCA60"
"CP2468","PCA4832"
"CP8337","PCA4832"
"CP1935","PCA4832"
"CP2468","PCA2155"
"CP8337","PCA2155"
"CP1935","PCA2155"
"CP2468","PCA9940"
"CP8337","PCA9940"
"CP1935","PCA9940"
"CP280","PCA8582"
"CP3789","PCA8582"
"CP7290","PCA8582"
"CP280","PCA4942"
"CP3789","PCA4942"
"CP7290","PCA4942"
"CP280","PCA497"
"CP3789","PCA497"
"CP7290","PCA497"
"CP7217","PCA836"
"CP7877","PCA836"
"CP3365","PCA836"
"CP7217","PCA6755"
"CP7877","PCA6755"
"CP3365","PCA6755"
"CP7217","PCA7666"
"CP7877","PCA7666"
"CP3365","PCA7666"
"CP22","PCA28"
"CP1263","PCA6064"
"CP8892","PCA6064"
"CP7368","PCA6064"
"CP1263","PCA7103"
"CP8892","PCA7103"
"CP7368","PCA7103"
"CP1263","PCA2789"
"CP8892","PCA2789"
"CP7368","PCA2789"
"CP440","PCA2618"
"CP2368","PCA2618"
"CP6222","PCA2618"
"CP440","PCA2370"
"CP2368","PCA2370"
"CP6222","PCA2370"
"CP440","PCA5402"
"CP2368","PCA5402"
"CP6222","PCA5402"
"CP65","PCA1402"
"CP65","PCA9124"
"CP65","PCA4318"
"CP194","PCA7174"
"CP2648","PCA7174"
"CP96","PCA7174"
"CP194","PCA7760"
"CP2648","PCA7760"
"CP96","PCA7760"
"CP194","PCA5125"
"CP2648","PCA5125"
"CP96","PCA5125"
"CP4407","PCA64"
"CP3036","PCA64"
"CP4377","PCA64"
"CP32","PCA6469"
"CP32","PCA7704"
"CP32","PCA7779"
"CP1232","PCA26"
"CP1400","PCA26"
"CP7862","PCA26"
"CP5634","PCA7104"
"CP5874","PCA7104"
"CP3169","PCA7104"
"CP5634","PCA7475"
"CP5874","PCA7475"
"CP3169","PCA7475"
"CP5634","PCA6604"
"CP5874","PCA6604"
"CP3169","PCA6604"
"CP98","PCA7021"
"CP3755","PCA7021"
"CP3565","PCA7021"
"CP98","PCA8472"
"CP3755","PCA8472"
"CP3565","PCA8472"
"CP98","PCA6208"
"CP3755","PCA6208"
"CP3565","PCA6208"
"CP8210","PCA8348"
"CP6125","PCA8348"
"CP4464","PCA8348"
"CP8210","PCA9452"
"CP6125","PCA9452"
"CP4464","PCA9452"
"CP8210","PCA1557"
"CP6125","PCA1557"
"CP4464","PCA1557"
"CP7135","PCA762"
"CP9375","PCA762"
"CP8257","PCA762"
"CP7135","PCA7905"
"CP9375","PCA7905"
"CP8257","PCA7905"
"CP7135","PCA4537"
"CP9375","PCA4537"
"CP8257","PCA4537"
"CP5615","PCA20"
"CP1470","PCA20"
"CP5038","PCA20"
"CP5079","PCA4047"
"CP8759","PCA4047"
"CP4521","PCA4047"
"CP5079","PCA4978"
"CP8759","PCA4978"
"CP4521","PCA4978"
"CP5079","PCA1578"
"CP8759","PCA1578"
"CP4521","PCA1578"
"CP33","PCA6806"
"CP33","PCA2212"
"CP33","PCA7854"
"CP20","PCA33"
"CP8507","PCA30"
"CP2942","PCA30"
"CP4793","PCA30"
"CP7534","PCA29"
"CP413","PCA29"
"CP8275","PCA29"
"CP2869","PCA59"
"CP8017","PCA59"
"CP6247","PCA59"
"CP1469","PCA1242"
"CP9671","PCA1242"
"CP1333","PCA1242"
"CP1469","PCA3279"
"CP9671","PCA3279"
"CP1333","PCA3279"
"CP1469","PCA7753"
"CP9671","PCA7753"
"CP1333","PCA7753"
"CP6546","PCA47"
"CP1035","PCA47"
"CP9326","PCA47"
"CP30","PCA10"
"CP8042","PCA9399"
"CP8526","PCA9399"
"CP5268","PCA9399"
"CP8042","PCA2824"
"CP8526","PCA2824"
"CP5268","PCA2824"
"CP8042","PCA2488"
"CP8526","PCA2488"
"CP5268","PCA2488"
"CP9851","PCA4"
"CP586","PCA4"
"CP8906","PCA4"
"CP9","PCA3333"
"CP9","PCA9323"
"CP9","PCA5072"
"CP32","PCA4309"
"CP32","PCA4477"
"CP32","PCA3000"
"CP1970","PCA12"
"CP6672","PCA12"
"CP8182","PCA12"
"CP9","PCA9960"
"CP9","PCA5219"
"CP9","PCA3155"
"CP9864","PCA3022"
"CP5353","PCA3022"
"CP7970","PCA3022"
"CP9864","PCA9071"
"CP5353","PCA9071"
"CP7970","PCA9071"
"CP9864","PCA4222"
"CP5353","PCA4222"
"CP7970","PCA4222"
"CP5588","PCA5"
"CP2809","PCA5"
"CP3347","PCA5"
"CP27","PCA27"
"CP38","PCA59"
"CP34","PCA51"
"CP64","PCA17"
"CP68","PCA51"
"CP5995","PCA53"
"CP6748","PCA53"
"CP2428","PCA53"
"CP6067","PCA3753"
"CP838","PCA3753"
"CP1993","PCA3753"
"CP6067","PCA5042"
"CP838","PCA5042"
"CP1993","PCA5042"
"CP6067","PCA5016"
"CP838","PCA5016"
"CP1993","PCA5016"
"CP1078","PCA2779"
"CP1532","PCA2779"
"CP928","PCA2779"
"CP1078","PCA6872"
"CP1532","PCA6872"
"CP928","PCA6872"
"CP1078","PCA7497"
"CP1532","PCA7497"
"CP928","PCA7497"
"CP7888","PCA40"
"CP4161","PCA40"
"CP2397","PCA40"
"CP4472","PCA8718"
"CP6717","PCA8718"
"CP7174","PCA8718"
"CP4472","PCA8895"
"CP6717","PCA8895"
"CP7174","PCA8895"
"CP4472","PCA6213"
"CP6717","PCA6213"
"CP7174","PCA6213"
"CP1816","PCA35"
"CP5450","PCA35"
"CP109","PCA35"
"CP31","PCA41"
"CP2180","PCA20"
"CP3579","PCA20"
"CP1282","PCA20"
"CP37","PCA59"
"CP2452","PCA66"
"CP8305","PCA66"
"CP9095","PCA66"
"CP60","PCA6879"
"CP60","PCA6110"
"CP60","PCA1402"
"CP2602","PCA3680"
"CP678","PCA3680"
"CP7815","PCA3680"
"CP2602","PCA3287"
"CP678","PCA3287"
"CP7815","PCA3287"
"CP2602","PCA4256"
"CP678","PCA4256"
"CP7815","PCA4256"
"CP23","PCA7894"
"CP23","PCA8399"
"CP23","PCA3879"
"CP59","PCA48"
"CP32","PCA17"
"CP8269","PCA1636"
"CP4517","PCA1636"
"CP2526","PCA1636"
"CP8269","PCA5846"
"CP4517","PCA5846"
"CP2526","PCA5846"
"CP8269","PCA6001"
"CP4517","PCA6001"
"CP2526","PCA6001"
"CP54","PCA7205"
"CP54","PCA6985"
"CP54","PCA6691"
"CP17","PCA1"
"CP5354","PCA9350"
"CP9482","PCA9350"
"CP2178","PCA9350"
"CP5354","PCA8486"
"CP9482","PCA8486"
"CP2178","PCA8486"
"CP5354","PCA5341"
"CP9482","PCA5341"
"CP2178","PCA5341"
"CP3781","PCA7"
"CP8036","PCA7"
"CP6296","PCA7"
"CP964","PCA5554"
"CP8585","PCA5554"
"CP5125","PCA5554"
"CP964","PCA293"
"CP8585","PCA293"
"CP5125","PCA293"
"CP964","PCA4189"
"CP8585","PCA4189"
"CP5125","PCA4189"
"CP20","PCA33"
"CP69","PCA62"
"CP51","PCA254"
"CP51","PCA6759"
"CP51","PCA1305"
"CP8294","PCA16"
"CP8876","PCA16"
"CP7308","PCA16"
"CP28","PCA4419"
"CP28","PCA2809"
"CP28","PCA6935"
"CP28","PCA65"
"CP180","PCA4914"
"CP7787","PCA4914"
"CP6350","PCA4914"
"CP180","PCA4680"
"CP7787","PCA4680"
"CP6350","PCA4680"
"CP180","PCA2129"
"CP7787","PCA2129"
"CP6350","PCA2129"
"CP8351","PCA2"
"CP9329","PCA2"
"CP3947","PCA2"
"CP41","PCA4103"
"CP41","PCA8124"
"CP41","PCA1209"
"CP9","PCA56"
"CP24","PCA18"
"CP9020","PCA3521"
"CP9063","PCA3521"
"CP1532","PCA3521"
"CP9020","PCA6222"
"CP9063","PCA6222"
"CP1532","PCA6222"
"CP9020","PCA8641"
"CP9063","PCA8641"
"CP1532","PCA8641"
"CP5637","PCA8045"
"CP5831","PCA8045"
"CP4347","PCA8045"
"CP5637","PCA2470"
"CP5831","PCA2470"
"CP4347","PCA2470"
"CP5637","PCA7478"
"CP5831","PCA7478"
"CP4347","PCA7478"
"CP5627","PCA6"
"CP6250","PCA6"
"CP5684","PCA6"
"CP46","PCA36"
"CP31","PCA8612"
"CP31","PCA2813"
"CP31","PCA3291"
"CP54","PCA3318"
"CP54","PCA797"
"CP54","PCA2214"
"CP61","PCA55"
"CP30","PCA1965"
"CP30","PCA7205"
"CP30","PCA4175"
"CP4766","PCA8058"
"CP5906","PCA8058"
"CP3482","PCA8058"
"CP4766","PCA9546"
"CP5906","PCA9546"
"CP3482","PCA9546"
"CP4766","PCA6454"
"CP5906","PCA6454"
"CP3482","PCA6454"
"CP6198","PCA10"
"CP3020","PCA10"
"CP1203","PCA10"
"CP8989","PCA40"
"CP8898","PCA40"
"CP2571","PCA40"
"CP4659","PCA49"
"CP7001","PCA49"
"CP1598","PCA49"
"CP32","PCA9102"
"CP32","PCA6963"
"CP32","PCA1056"
"CP1325","PCA1016"
"CP3518","PCA1016"
"CP2157","PCA1016"
"CP1325","PCA2231"
"CP3518","PCA2231"
"CP2157","PCA2231"
"CP1325","PCA5703"
"CP3518","PCA5703"
"CP2157","PCA5703"
"CP3","PCA17"
"CP3458","PCA6276"
"CP8958","PCA6276"
"CP1623","PCA6276"
"CP3458","PCA4261"
"CP8958","PCA4261"
"CP1623","PCA4261"
"CP3458","PCA8304"
"CP8958","PCA8304"
"CP1623","PCA8304"
"CP6314","PCA4555"
"CP7099","PCA4555"
"CP4063","PCA4555"
"CP6314","PCA2972"
"CP7099","PCA2972"
"CP4063","PCA2972"
"CP6314","PCA209"
"CP7099","PCA209"
"CP4063","PCA209"
"CP1135","PCA5737"
"CP4430","PCA5737"
"CP6727","PCA5737"
"CP1135","PCA6013"
"CP4430","PCA6013"
"CP6727","PCA6013"
"CP1135","PCA1878"
"CP4430","PCA1878"
"CP6727","PCA1878"
"CP62","PCA52"
"CP56","PCA52"
"CP18","PCA10"
"CP2935","PCA40"
"CP4454","PCA40"
"CP8262","PCA40"
"CP31","PCA2589"
"CP31","PCA1175"
"CP31","PCA4297"
"CP700","PCA3421"
"CP7005","PCA3421"
"CP9693","PCA3421"
"CP700","PCA9169"
"CP7005","PCA9169"
"CP9693","PCA9169"
"CP700","PCA361"
"CP7005","PCA361"
"CP9693","PCA361"
"CP60","PCA6388"
"CP60","PCA7841"
"CP60","PCA9895"
"CP7","PCA69"
"CP3041","PCA13"
"CP8022","PCA13"
"CP9708","PCA13"
"CP2433","PCA5382"
"CP5372","PCA5382"
"CP8957","PCA5382"
"CP2433","PCA6296"
"CP5372","PCA6296"
"CP8957","PCA6296"
"CP2433","PCA1412"
"CP5372","PCA1412"
"CP8957","PCA1412"
"CP26","PCA4707"
"CP26","PCA7116"
"CP26","PCA1312"
"CP4100","PCA9695"
"CP7156","PCA9695"
"CP1355","PCA9695"
"CP4100","PCA2129"
"CP7156","PCA2129"
"CP1355","PCA2129"
"CP4100","PCA533"
"CP7156","PCA533"
"CP1355","PCA533"
"CP5398","PCA19"
"CP2160","PCA19"
"CP3455","PCA19"
"CP22","PCA7279"
"CP22","PCA5494"
"CP22","PCA3420"
"CP8245","PCA11"
"CP5720","PCA11"
"CP4282","PCA11"
"CP4099","PCA7201"
"CP4031","PCA7201"
"CP3416","PCA7201"
"CP4099","PCA7371"
"CP4031","PCA7371"
"CP3416","PCA7371"
"CP4099","PCA987"
"CP4031","PCA987"
"CP3416","PCA987"
"CP53","PCA4144"
"CP53","PCA3189"
"CP53","PCA9999"
"CP2","PCA3"
"CP32","PCA7455"
"CP32","PCA6884"
"CP32","PCA1300"
"CP3917","PCA2"
"CP4584","PCA2"
"CP9173","PCA2"
"CP4148","PCA44"
"CP9074","PCA44"
"CP1790","PCA44"
"CP44","PCA70"
"CP3585","PCA21"
"CP767","PCA21"
"CP6238","PCA21"
"CP59","PCA22"
"CP30","PCA1"
"CP44","PCA58"
"CP7759","PCA3"
"CP5945","PCA3"
"CP5382","PCA3"
"CP3479","PCA34"
"CP7382","PCA34"
"CP5952","PCA34"
"CP8626","PCA9927"
"CP5270","PCA9927"
"CP4598","PCA9927"
"CP8626","PCA5818"
"CP5270","PCA5818"
"CP4598","PCA5818"
"CP8626","PCA4760"
"CP5270","PCA4760"
"CP4598","PCA4760"
"CP28","PCA22"
"CP2663","PCA59"
"CP7493","PCA59"
"CP4398","PCA59"
"CP68","PCA58"
"CP8956","PCA31"
"CP7776","PCA31"
"CP4744","PCA31"
"CP14","PCA8374"
"CP14","PCA5024"
"CP14","PCA431"
"CP70","PCA29"
"CP587","PCA56"
"CP5634","PCA56"
"CP2917","PCA56"
"CP924","PCA7308"
"CP723","PCA7308"
"CP9453","PCA7308"
"CP924","PCA4775"
"CP723","PCA4775"
"CP9453","PCA4775"
"CP924","PCA8888"
"CP723","PCA8888"
"CP9453","PCA8888"
"CP3570","PCA1288"
"CP2418","PCA1288"
"CP8400","PCA1288"
"CP3570","PCA4543"
"CP2418","PCA4543"
"CP8400","PCA4543"
"CP3570","PCA1362"
"CP2418","PCA1362"
"CP8400","PCA1362"
"CP4915","PCA21"
"CP4519","PCA21"
"CP8493","PCA21"
"CP1","PCA5070"
"CP1","PCA9168"
"CP1","PCA3386"
"CP14","PCA7367"
"CP14","PCA8889"
"CP14","PCA4447"
"CP41","PCA9770"
"CP41","PCA8093"
"CP41","PCA4428"
"CP133","PCA41"
"CP3138","PCA41"
"CP3471","PCA41"
"CP30","PCA30"
"CP586","PCA49"
"CP8258","PCA49"
"CP8079","PCA49"
"CP5409","PCA9680"
"CP5177","PCA9680"
"CP5111","PCA9680"
"CP5409","PCA4074"
"CP5177","PCA4074"
"CP5111","PCA4074"
"CP5409","PCA6162"
"CP5177","PCA6162"
"CP5111","PCA6162"
"CP13","PCA64"
"CP21","PCA36"
"CP14","PCA9630"
"CP14","PCA2934"
"CP14","PCA5775"
"CP11","PCA4338"
"CP11","PCA5957"
"CP11","PCA9232"
"CP5591","PCA24"
"CP9478","PCA24"
"CP104","PCA24"
"CP25","PCA541"
"CP25","PCA838"
"CP25","PCA5605"
"CP8080","PCA1581"
"CP149","PCA1581"
"CP9496","PCA1581"
"CP8080","PCA8596"
"CP149","PCA8596"
"CP9496","PCA8596"
"CP8080","PCA8368"
"CP149","PCA8368"
"CP9496","PCA8368"
"CP49","PCA54"
"CP818","PCA4861"
"CP8684","PCA4861"
"CP2914","PCA4861"
"CP818","PCA285"
"CP8684","PCA285"
"CP2914","PCA285"
"CP818","PCA9050"
"CP8684","PCA9050"
"CP2914","PCA9050"
"CP32","PCA1383"
"CP32","PCA4823"
"CP32","PCA8512"
"CP56","PCA19"
"CP24","PCA7825"
"CP24","PCA4564"
"CP24","PCA1212"
"CP7953","PCA195"
"CP901","PCA195"
"CP585","PCA195"
"CP7953","PCA5118"
"CP901","PCA5118"
"CP585","PCA5118"
"CP7953","PCA9895"
"CP901","PCA9895"
"CP585","PCA9895"
"CP39","PCA52"
"CP49","PCA6343"
"CP49","PCA7272"
"CP49","PCA6751"
"CP27","PCA44"
"CP18","PCA62"
"CP61","PCA35"
"CP6973","PCA47"
"CP2382","PCA47"
"CP9383","PCA47"
"CP7609","PCA2"
"CP6177","PCA2"
"CP3595","PCA2"
"CP3643","PCA59"
"CP46","PCA59"
"CP4611","PCA59"
"CP60","PCA58"
"CP7995","PCA1153"
"CP5688","PCA1153"
"CP7175","PCA1153"
"CP7995","PCA8851"
"CP5688","PCA8851"
"CP7175","PCA8851"
"CP7995","PCA2217"
"CP5688","PCA2217"
"CP7175","PCA2217"
"CP1257","PCA2199"
"CP8222","PCA2199"
"CP1348","PCA2199"
"CP1257","PCA9830"
"CP8222","PCA9830"
"CP1348","PCA9830"
"CP1257","PCA7191"
"CP8222","PCA7191"
"CP1348","PCA7191"
"CP37","PCA22"
"CP5","PCA1984"
"CP5","PCA3399"
"CP5","PCA8332"
"CP38","PCA37"
"CP43","PCA16"
"CP55","PCA7354"
"CP55","PCA1387"
"CP55","PCA4064"
"CP1","PCA66"
"CP69","PCA49"
"CP318","PCA17"
"CP1472","PCA17"
"CP6660","PCA17"
"CP20","PCA24"
"CP2258","PCA54"
"CP1966","PCA54"
"CP8307","PCA54"
"CP27","PCA38"
"CP5583","PCA3047"
"CP3233","PCA3047"
"CP5293","PCA3047"
"CP5583","PCA1626"
"CP3233","PCA1626"
"CP5293","PCA1626"
"CP5583","PCA7807"
"CP3233","PCA7807"
"CP5293","PCA7807"
"CP59","PCA1800"
"CP59","PCA5751"
"CP59","PCA6371"
"CP10","PCA2005"
"CP10","PCA3529"
"CP10","PCA5249"
"CP2586","PCA1900"
"CP7413","PCA1900"
"CP3015","PCA1900"
"CP2586","PCA5716"
"CP7413","PCA5716"
"CP3015","PCA5716"
"CP2586","PCA1832"
"CP7413","PCA1832"
"CP3015","PCA1832"
"CP3512","PCA1201"
"CP8597","PCA1201"
"CP5269","PCA1201"
"CP3512","PCA3939"
"CP8597","PCA3939"
"CP5269","PCA3939"
"CP3512","PCA4544"
"CP8597","PCA4544"
"CP5269","PCA4544"
"CP50","PCA44"
"CP5","PCA63"
"CP21","PCA7923"
"CP21","PCA8943"
"CP21","PCA2258"
"CP67","PCA6"
"CP4803","PCA7421"
"CP1880","PCA7421"
"CP1878","PCA7421"
"CP4803","PCA7772"
"CP1880","PCA7772"
"CP1878","PCA7772"
"CP4803","PCA2991"
"CP1880","PCA2991"
"CP1878","PCA2991"
"CP4673","PCA9"
"CP1208","PCA9"
"CP3372","PCA9"
"CP29","PCA8929"
"CP29","PCA9922"
"CP29","PCA4952"
"CP23","PCA5799"
"CP23","PCA1711"
"CP23","PCA2262"
"CP3152","PCA583"
"CP1192","PCA583"
"CP7559","PCA583"
"CP3152","PCA1563"
"CP1192","PCA1563"
"CP7559","PCA1563"
"CP3152","PCA3425"
"CP1192","PCA3425"
"CP7559","PCA3425"
"CP8559","PCA19"
"CP3133","PCA19"
"CP713","PCA19"
"CP44","PCA6263"
"CP44","PCA9814"
"CP44","PCA6037"
"CP21","PCA20"
"CP9249","PCA4290"
"CP7589","PCA4290"
"CP7001","PCA4290"
"CP9249","PCA1562"
"CP7589","PCA1562"
"CP7001","PCA1562"
"CP9249","PCA8532"
"CP7589","PCA8532"
"CP7001","PCA8532"
"CP8438","PCA521"
"CP2901","PCA521"
"CP2933","PCA521"
"CP8438","PCA5223"
"CP2901","PCA5223"
"CP2933","PCA5223"
"CP8438","PCA832"
"CP2901","PCA832"
"CP2933","PCA832"
"CP30","PCA57"
"CP5502","PCA7317"
"CP5621","PCA7317"
"CP5733","PCA7317"
"CP5502","PCA8626"
"CP5621","PCA8626"
"CP5733","PCA8626"
"CP5502","PCA1715"
"CP5621","PCA1715"
"CP5733","PCA1715"
"CP524","PCA12"
"CP8661","PCA12"
"CP2848","PCA12"
"CP70","PCA44"
"CP4898","PCA43"
"CP1869","PCA43"
"CP7983","PCA43"
"CP6973","PCA9110"
"CP8486","PCA9110"
"CP5805","PCA9110"
"CP6973","PCA6077"
"CP8486","PCA6077"
"CP5805","PCA6077"
"CP6973","PCA4957"
"CP8486","PCA4957"
"CP5805","PCA4957"
"CP21","PCA2732"
"CP21","PCA2190"
"CP21","PCA6109"
"CP59","PCA5"
"CP5849","PCA69"
"CP8887","PCA69"
"CP4829","PCA69"
"CP6718","PCA5642"
"CP9677","PCA5642"
"CP1482","PCA5642"
"CP6718","PCA5287"
"CP9677","PCA5287"
"CP1482","PCA5287"
"CP6718","PCA4016"
"CP9677","PCA4016"
"CP1482","PCA4016"
"CP7075","PCA11"
"CP6751","PCA11"
"CP1853","PCA11"
"CP13","PCA5647"
"CP13","PCA9651"
"CP13","PCA1583"
"CP28","PCA18"
"CP6309","PCA1326"
"CP7256","PCA1326"
"CP9470","PCA1326"
"CP6309","PCA2517"
"CP7256","PCA2517"
"CP9470","PCA2517"
"CP6309","PCA7571"
"CP7256","PCA7571"
"CP9470","PCA7571"
"CP2198","PCA9"
"CP4313","PCA9"
"CP6324","PCA9"
"CP4314","PCA58"
"CP5631","PCA58"
"CP5708","PCA58"
"CP9202","PCA61"
"CP9539","PCA61"
"CP4298","PCA61"
"CP67","PCA6873"
"CP67","PCA6904"
"CP67","PCA8873"
"CP9414","PCA60"
"CP5384","PCA60"
"CP6989","PCA60"
"CP385","PCA42"
"CP6695","PCA42"
"CP5935","PCA42"
"CP69","PCA3988"
"CP69","PCA2309"
"CP69","PCA7436"
"CP15","PCA20"
"CP48","PCA3859"
"CP48","PCA8231"
"CP48","PCA7685"
"CP66","PCA43"
"CP57","PCA1408"
"CP57","PCA8710"
"CP57","PCA9967"
"CP6283","PCA6479"
"CP2386","PCA6479"
"CP6171","PCA6479"
"CP6283","PCA5289"
"CP2386","PCA5289"
"CP6171","PCA5289"
"CP6283","PCA8418"
"CP2386","PCA8418"
"CP6171","PCA8418"
"CP6498","PCA6436"
"CP1539","PCA6436"
"CP8349","PCA6436"
"CP6498","PCA659"
"CP1539","PCA659"
"CP8349","PCA659"
"CP6498","PCA178"
"CP1539","PCA178"
"CP8349","PCA178"
"CP64","PCA11"
"CP54","PCA38"
"CP8748","PCA6"
"CP8275","PCA6"
"CP3291","PCA6"
"CP34","PCA49"
"CP5413","PCA4"
"CP6752","PCA4"
"CP2128","PCA4"
"CP7","PCA8140"
"CP7","PCA2190"
"CP7","PCA1509"
"CP7","PCA2074"
"CP7","PCA9120"
"CP7","PCA5891"
"CP31","PCA7"
"CP9","PCA11"
"CP56","PCA58"
"CP8961","PCA3173"
"CP691","PCA3173"
"CP4078","PCA3173"
"CP8961","PCA3475"
"CP691","PCA3475"
"CP4078","PCA3475"
"CP8961","PCA5024"
"CP691","PCA5024"
"CP4078","PCA5024"
"CP484","PCA2715"
"CP8849","PCA2715"
"CP4155","PCA2715"
"CP484","PCA7780"
"CP8849","PCA7780"
"CP4155","PCA7780"
"CP484","PCA3842"
"CP8849","PCA3842"
"CP4155","PCA3842"
"CP19","PCA7393"
"CP19","PCA6458"
"CP19","PCA3980"
"CP1691","PCA6344"
"CP1347","PCA6344"
"CP8809","PCA6344"
"CP1691","PCA1185"
"CP1347","PCA1185"
"CP8809","PCA1185"
"CP1691","PCA7363"
"CP1347","PCA7363"
"CP8809","PCA7363"
"CP1549","PCA8725"
"CP5625","PCA8725"
"CP6852","PCA8725"
"CP1549","PCA583"
"CP5625","PCA583"
"CP6852","PCA583"
"CP1549","PCA4866"
"CP5625","PCA4866"
"CP6852","PCA4866"
"CP9859","PCA25"
"CP2947","PCA25"
"CP8665","PCA25"
"CP48","PCA42"
"CP10","PCA335"
"CP10","PCA769"
"CP10","PCA8736"
"CP7309","PCA19"
"CP3661","PCA19"
"CP9985","PCA19"
"CP7378","PCA28"
"CP9128","PCA28"
"CP8742","PCA28"
"CP9164","PCA65"
"CP9704","PCA65"
"CP6432","PCA65"
"CP63","PCA6408"
"CP63","PCA4347"
"CP63","PCA1948"
"CP7251","PCA7059"
"CP7146","PCA7059"
"CP5680","PCA7059"
"CP7251","PCA5396"
"CP7146","PCA5396"
"CP5680","PCA5396"
"CP7251","PCA8779"
"CP7146","PCA8779"
"CP5680","PCA8779"
"CP5966","PCA34"
"CP9982","PCA34"
"CP4513","PCA34"
"CP2489","PCA25"
"CP542","PCA25"
"CP3820","PCA25"
"CP8521","PCA8189"
"CP1845","PCA8189"
"CP6552","PCA8189"
"CP8521","PCA593"
"CP1845","PCA593"
"CP6552","PCA593"
"CP8521","PCA4538"
"CP1845","PCA4538"
"CP6552","PCA4538"
"CP43","PCA3516"
"CP43","PCA1511"
"CP43","PCA644"
"CP8641","PCA7715"
"CP5970","PCA7715"
"CP1300","PCA7715"
"CP8641","PCA3887"
"CP5970","PCA3887"
"CP1300","PCA3887"
"CP8641","PCA2716"
"CP5970","PCA2716"
"CP1300","PCA2716"
"CP4","PCA29"
"CP3602","PCA1"
"CP2293","PCA1"
"CP4636","PCA1"
"CP39","PCA21"
"CP1321","PCA1369"
"CP7992","PCA1369"
"CP6678","PCA1369"
"CP1321","PCA6006"
"CP7992","PCA6006"
"CP6678","PCA6006"
"CP1321","PCA9161"
"CP7992","PCA9161"
"CP6678","PCA9161"
"CP5","PCA6098"
"CP5","PCA3462"
"CP5","PCA948"
"CP64","PCA32"
"CP32","PCA46"
"CP38","PCA7800"
"CP38","PCA4691"
"CP38","PCA5287"
"CP2920","PCA22"
"CP3187","PCA22"
"CP4943","PCA22"
"CP17","PCA498"
"CP17","PCA6092"
"CP17","PCA1647"
"CP15","PCA18"
"CP10","PCA61"
"CP7787","PCA41"
"CP4404","PCA41"
"CP7226","PCA41"
"CP3945","PCA4798"
"CP8096","PCA4798"
"CP7824","PCA4798"
"CP3945","PCA9494"
"CP8096","PCA9494"
"CP7824","PCA9494"
"CP3945","PCA1472"
"CP8096","PCA1472"
"CP7824","PCA1472"
"CP13","PCA2695"
"CP13","PCA8837"
"CP13","PCA5155"
"CP5879","PCA3300"
"CP2560","PCA3300"
"CP6919","PCA3300"
"CP5879","PCA3573"
"CP2560","PCA3573"
"CP6919","PCA3573"
"CP5879","PCA1671"
"CP2560","PCA1671"
"CP6919","PCA1671"
"CP37","PCA318"
"CP37","PCA8297"
"CP37","PCA1093"
"CP20","PCA5354"
"CP20","PCA5560"
"CP20","PCA121"
"CP2375","PCA6380"
"CP3293","PCA6380"
"CP1192","PCA6380"
"CP2375","PCA6804"
"CP3293","PCA6804"
"CP1192","PCA6804"
"CP2375","PCA5749"
"CP3293","PCA5749"
"CP1192","PCA5749"
"CP25","PCA3779"
"CP25","PCA919"
"CP25","PCA8560"
"CP53","PCA9552"
"CP53","PCA6121"
"CP53","PCA5630"
"CP63","PCA14"
"CP34","PCA2"
"CP5276","PCA9598"
"CP8172","PCA9598"
"CP8854","PCA9598"
"CP5276","PCA2906"
"CP8172","PCA2906"
"CP8854","PCA2906"
"CP5276","PCA2300"
"CP8172","PCA2300"
"CP8854","PCA2300"
"CP462","PCA44"
"CP8819","PCA44"
"CP4874","PCA44"
"CP67","PCA62"
"CP9756","PCA3682"
"CP5297","PCA3682"
"CP4382","PCA3682"
"CP9756","PCA2980"
"CP5297","PCA2980"
"CP4382","PCA2980"
"CP9756","PCA7713"
"CP5297","PCA7713"
"CP4382","PCA7713"
"CP7","PCA12"
"CP42","PCA10"
"CP7","PCA4898"
"CP7","PCA1363"
"CP7","PCA2680"
"CP41","PCA10"
"CP6294","PCA17"
"CP9474","PCA17"
"CP8252","PCA17"
"CP23","PCA9990"
"CP23","PCA666"
"CP23","PCA3674"
"CP1438","PCA8760"
"CP6104","PCA8760"
"CP8502","PCA8760"
"CP1438","PCA3856"
"CP6104","PCA3856"
"CP8502","PCA3856"
"CP1438","PCA4234"
"CP6104","PCA4234"
"CP8502","PCA4234"
"CP1735","PCA6202"
"CP2581","PCA6202"
"CP8187","PCA6202"
"CP1735","PCA8662"
"CP2581","PCA8662"
"CP8187","PCA8662"
"CP1735","PCA3094"
