"EXCEPTIONCASEID","PRIMARYACTOR","TITLE","DESCRIPTION"
"EC2619","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2620","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2621","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2622","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC2623","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2624","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC2625","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC2626","Clinician","Air-in-line Embolism","bubble detection"
"EC2627","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2628","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2629","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC2630","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2631","Patient or Clinician","Sound Failure","no audible alarm"
"EC2632","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC2633","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2634","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2635","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2636","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC2637","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC2638","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2639","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2640","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2641","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC2642","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2643","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC2644","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC2645","Patient","Air-in-line Embolism","bubble detection"
"EC2646","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2647","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2648","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC2649","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2650","Clinician","Sound Failure","no audible alarm"
"EC2651","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC2652","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2653","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2654","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2655","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC2656","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC2657","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2658","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2659","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2660","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC2661","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2662","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC2663","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC2664","ICE app","Air-in-line Embolism","bubble detection"
"EC2665","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2666","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2667","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC2668","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2669","Patient","Sound Failure","no audible alarm"
"EC2670","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC2671","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2672","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2673","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2674","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC2675","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC2676","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2677","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2678","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2679","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC2680","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2681","Patient","Downstream Occlusion","blockage between pump and patient"
"EC2682","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC2683","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC2684","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2685","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2686","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC2687","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2688","ICE app","Sound Failure","no audible alarm"
"EC2689","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC2690","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2691","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2692","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2693","Patient","Power-On Self Test Failure","power-on self test fails"
"EC2694","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC2695","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2696","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2697","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2698","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC2699","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2700","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC2701","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC2702","Clinician","Air-in-line Embolism","bubble detection"
"EC2703","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2704","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2705","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC2706","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2707","Patient or Clinician","Sound Failure","no audible alarm"
"EC2708","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC2709","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2710","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2711","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2712","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC2713","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC2714","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2715","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2716","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2717","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC2718","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2719","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC2720","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC2721","Patient","Air-in-line Embolism","bubble detection"
"EC2722","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2723","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2724","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC2725","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2726","Clinician","Sound Failure","no audible alarm"
"EC2727","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC2728","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2729","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2730","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2731","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC2732","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC2733","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2734","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2735","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2736","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC2737","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2738","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC2739","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC2740","ICE app","Air-in-line Embolism","bubble detection"
"EC2741","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2742","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2743","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC2744","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2745","Patient","Sound Failure","no audible alarm"
"EC2746","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC2747","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2748","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2749","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2750","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC2751","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC2752","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2753","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2754","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2755","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC2756","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2757","Patient","Downstream Occlusion","blockage between pump and patient"
"EC2758","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC2759","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC2760","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2761","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2762","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC2763","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2764","ICE app","Sound Failure","no audible alarm"
"EC2765","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC2766","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2767","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2768","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2769","Patient","Power-On Self Test Failure","power-on self test fails"
"EC2770","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC2771","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2772","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2773","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2774","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC2775","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2776","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC2777","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC2778","Clinician","Air-in-line Embolism","bubble detection"
"EC2779","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2780","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2781","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC2782","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2783","Patient or Clinician","Sound Failure","no audible alarm"
"EC2784","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC2785","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2786","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2787","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2788","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC2789","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC2790","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2791","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2792","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2793","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC2794","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2795","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC2796","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC2797","Patient","Air-in-line Embolism","bubble detection"
"EC2798","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2799","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2800","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC2801","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2802","Clinician","Sound Failure","no audible alarm"
"EC2803","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC2804","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2805","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2806","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2807","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC2808","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC2809","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2810","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2811","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2812","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC2813","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2814","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC2815","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC2816","ICE app","Air-in-line Embolism","bubble detection"
"EC2817","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2818","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2819","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC2820","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2821","Patient","Sound Failure","no audible alarm"
"EC2822","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC2823","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2824","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2825","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2826","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC2827","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC2828","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2829","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2830","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2831","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC2832","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2833","Patient","Downstream Occlusion","blockage between pump and patient"
"EC2834","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC2835","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC2836","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2837","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2838","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC2839","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2840","ICE app","Sound Failure","no audible alarm"
"EC2841","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC2842","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2843","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2844","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2845","Patient","Power-On Self Test Failure","power-on self test fails"
"EC2846","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC2847","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2848","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2849","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2850","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC2851","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2852","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC2853","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC2854","Clinician","Air-in-line Embolism","bubble detection"
"EC2855","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2856","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2857","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC2858","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2859","Patient or Clinician","Sound Failure","no audible alarm"
"EC2860","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC2861","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2862","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2863","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2864","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC2865","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC2866","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2867","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2868","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2869","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC2870","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2871","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC2872","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC2873","Patient","Air-in-line Embolism","bubble detection"
"EC2874","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2875","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2876","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC2877","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2878","Clinician","Sound Failure","no audible alarm"
"EC2879","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC2880","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2881","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2882","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2883","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC2884","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC2885","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2886","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2887","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2888","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC2889","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2890","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC2891","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC2892","ICE app","Air-in-line Embolism","bubble detection"
"EC2893","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2894","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2895","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC2896","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2897","Patient","Sound Failure","no audible alarm"
"EC2898","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC2899","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2900","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2901","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2902","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC2903","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC2904","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2905","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2906","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2907","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC2908","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2909","Patient","Downstream Occlusion","blockage between pump and patient"
"EC2910","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC2911","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC2912","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2913","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2914","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC2915","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2916","ICE app","Sound Failure","no audible alarm"
"EC2917","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC2918","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2919","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2920","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2921","Patient","Power-On Self Test Failure","power-on self test fails"
"EC2922","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC2923","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2924","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2925","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2926","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC2927","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2928","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC2929","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC2930","Clinician","Air-in-line Embolism","bubble detection"
"EC2931","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2932","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2933","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC2934","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2935","Patient or Clinician","Sound Failure","no audible alarm"
"EC2936","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC2937","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2938","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2939","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2940","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC2941","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC2942","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2943","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2944","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2945","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC2946","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2947","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC2948","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC2949","Patient","Air-in-line Embolism","bubble detection"
"EC2950","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2951","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2952","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC2953","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2954","Clinician","Sound Failure","no audible alarm"
"EC2955","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC2956","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2957","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2958","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2959","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC2960","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC2961","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2962","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2963","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2964","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC2965","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2966","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC2967","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC2968","ICE app","Air-in-line Embolism","bubble detection"
"EC2969","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2970","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2971","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC2972","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC2973","Patient","Sound Failure","no audible alarm"
"EC2974","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC2975","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2976","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2977","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2978","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC2979","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC2980","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC2981","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC2982","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC2983","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC2984","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2985","Patient","Downstream Occlusion","blockage between pump and patient"
"EC2986","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC2987","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC2988","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC2989","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC2990","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC2991","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
