"USECASESTEPID","STEPDESCRIPTION"
"UseCaseStep1960"," "
"UseCaseStep1961","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep1962","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep1963","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep1964","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep1965"," "
"UseCaseStep1966","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep1967","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep1968","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep1969","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep1970"," "
"UseCaseStep1971","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep1972","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep1973","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep1974","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep1975"," "
"UseCaseStep1976","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep1977","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep1978","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep1979","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep1980"," "
"UseCaseStep1981","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep1982","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep1983","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep1984","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep1985"," "
"UseCaseStep1986","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep1987","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep1988","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep1989","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep1990"," "
"UseCaseStep1991","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep1992","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep1993","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep1994","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep1995"," "
"UseCaseStep1996","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep1997","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep1998","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep1999","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2000"," "
"UseCaseStep2001","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2002","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2003","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2004","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2005"," "
"UseCaseStep2006","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2007","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2008","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2009","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2010"," "
"UseCaseStep2011","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2012","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2013","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2014","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2015"," "
"UseCaseStep2016","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2017","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2018","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2019","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2020"," "
"UseCaseStep2021","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2022","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2023","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2024","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2025"," "
"UseCaseStep2026","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2027","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2028","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2029","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2030"," "
"UseCaseStep2031","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2032","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2033","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2034","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2035"," "
"UseCaseStep2036","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2037","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2038","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2039","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2040"," "
"UseCaseStep2041","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2042","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2043","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2044","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2045"," "
"UseCaseStep2046","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2047","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2048","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2049","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2050"," "
"UseCaseStep2051","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2052","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2053","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2054","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2055"," "
"UseCaseStep2056","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2057","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2058","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2059","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2060"," "
"UseCaseStep2061","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2062","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2063","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2064","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2065"," "
"UseCaseStep2066","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2067","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2068","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2069","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2070"," "
"UseCaseStep2071","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2072","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2073","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2074","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2075"," "
"UseCaseStep2076","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2077","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2078","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2079","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2080"," "
"UseCaseStep2081","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2082","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2083","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2084","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2085"," "
"UseCaseStep2086","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2087","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2088","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2089","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2090"," "
"UseCaseStep2091","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2092","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2093","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2094","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2095"," "
"UseCaseStep2096","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2097","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2098","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2099","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2100"," "
"UseCaseStep2101","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2102","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2103","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2104","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2105"," "
"UseCaseStep2106","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2107","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2108","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2109","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2110"," "
"UseCaseStep2111","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2112","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2113","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2114","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2115"," "
"UseCaseStep2116","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2117","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2118","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2119","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2120"," "
"UseCaseStep2121","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2122","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2123","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2124","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2125"," "
"UseCaseStep2126","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2127","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2128","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2129","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2130"," "
"UseCaseStep2131","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2132","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2133","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2134","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2135"," "
"UseCaseStep2136","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2137","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2138","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2139","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2140"," "
"UseCaseStep2141","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2142","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2143","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2144","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2145"," "
"UseCaseStep2146","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2147","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2148","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2149","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2150"," "
"UseCaseStep2151","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2152","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2153","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2154","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2155"," "
"UseCaseStep2156","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2157","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2158","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2159","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2160"," "
"UseCaseStep2161","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2162","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2163","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2164","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2165"," "
"UseCaseStep2166","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2167","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2168","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2169","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2170"," "
"UseCaseStep2171","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2172","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2173","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2174","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2175"," "
"UseCaseStep2176","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2177","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2178","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2179","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2180"," "
"UseCaseStep2181","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2182","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2183","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2184","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2185"," "
"UseCaseStep2186","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2187","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2188","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2189","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2190"," "
"UseCaseStep2191","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2192","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2193","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2194","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2195"," "
"UseCaseStep2196","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2197","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2198","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2199","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2200"," "
"UseCaseStep2201","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2202","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2203","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2204","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2205"," "
"UseCaseStep2206","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2207","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2208","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2209","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2210"," "
"UseCaseStep2211","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2212","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2213","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2214","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2215"," "
"UseCaseStep2216","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2217","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2218","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2219","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2220"," "
"UseCaseStep2221","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2222","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2223","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2224","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2225"," "
"UseCaseStep2226","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2227","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2228","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2229","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2230"," "
"UseCaseStep2231","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2232","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2233","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2234","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2235"," "
"UseCaseStep2236","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2237","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2238","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2239","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2240"," "
"UseCaseStep2241","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2242","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2243","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2244","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2245"," "
"UseCaseStep2246","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2247","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2248","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2249","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2250"," "
"UseCaseStep2251","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2252","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2253","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2254","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2255"," "
"UseCaseStep2256","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2257","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2258","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2259","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2260"," "
"UseCaseStep2261","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep2262","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep2263","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep2264","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep2265"," "
"UseCaseStep2266","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
