"USECASEID","PRIMARYACTOR","TITLE","DESCRIPTION"
"UC1964","Clinician","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC1965","Clinician or APP","Clinician-Requested Bolus"," "
"UC1966","Clinician","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC1967","Clinician","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC1968","Patient","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC1969","Clinician","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC1970","ICE app","Flush Pump"," "
"UC1971","Clinician","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC1972","Clinician or APP","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC1973","Clinician","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC1974","Clinician","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC1975","Patient","ICE-Dectected Hazard"," "
"UC1976","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC1977","ICE app","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC1978","Clinician","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC1979","Clinician or APP","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC1980","Clinician","Prime Pump"," "
"UC1981","Clinician","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC1982","Patient","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC1983","Clinician","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC1984","ICE app","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC1985","Clinician","Resume Operation After ICE-Dected Hazard"," "
"UC1986","Clinician or APP","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC1987","Clinician","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC1988","Clinician","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC1989","Patient","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC1990","Clinician","normal Operation"," "
"UC1991","ICE app","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC1992","Clinician","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC1993","Clinician or APP","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC1994","Clinician","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC1995","Clinician","ICE-initiated Audible Alarm Inactivation"," "
"UC1996","Patient","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC1997","Clinician","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC1998","ICE app","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC1999","Clinician","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2000","Clinician or APP","Patient-Requested Bolus"," "
"UC2001","Clinician","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2002","Clinician","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2003","Patient","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2004","Clinician","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2005","ICE app","Resume Infusion"," "
"UC2006","Clinician","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2007","Clinician or APP","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2008","Clinician","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2009","Clinician","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2010","Patient","Clinician-Requested Bolus"," "
"UC2011","Clinician","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2012","ICE app","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2013","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2014","Clinician or APP","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2015","Clinician","Flush Pump"," "
"UC2016","Clinician","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2017","Patient","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2018","Clinician","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2019","ICE app","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2020","Clinician","ICE-Dectected Hazard"," "
"UC2021","Clinician or APP","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2022","Clinician","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2023","Clinician","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2024","Patient","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2025","Clinician","Prime Pump"," "
"UC2026","ICE app","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2027","Clinician","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2028","Clinician or APP","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2029","Clinician","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2030","Clinician","Resume Operation After ICE-Dected Hazard"," "
"UC2031","Patient","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2032","Clinician","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2033","ICE app","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2034","Clinician","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2035","Clinician or APP","normal Operation"," "
"UC2036","Clinician","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2037","Clinician","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2038","Patient","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2039","Clinician","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2040","ICE app","ICE-initiated Audible Alarm Inactivation"," "
"UC2041","Clinician","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2042","Clinician or APP","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2043","Clinician","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2044","Clinician","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2045","Patient","Patient-Requested Bolus"," "
"UC2046","Clinician","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2047","ICE app","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2048","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2049","Clinician or APP","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2050","Clinician","Resume Infusion"," "
"UC2051","Clinician","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2052","Patient","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2053","Clinician","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2054","ICE app","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2055","Clinician","Clinician-Requested Bolus"," "
"UC2056","Clinician or APP","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2057","Clinician","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2058","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2059","Patient","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2060","Clinician","Flush Pump"," "
"UC2061","ICE app","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2062","Clinician","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2063","Clinician or APP","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2064","Clinician","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2065","Clinician","ICE-Dectected Hazard"," "
"UC2066","Patient","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2067","Clinician","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2068","ICE app","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2069","Clinician","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2070","Clinician or APP","Prime Pump"," "
"UC2071","Clinician","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2072","Clinician","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2073","Patient","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2074","Clinician","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2075","ICE app","Resume Operation After ICE-Dected Hazard"," "
"UC2076","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2077","Clinician or APP","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2078","Clinician","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2079","Clinician","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2080","Patient","normal Operation"," "
"UC2081","Clinician","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2082","ICE app","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2083","Clinician","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2084","Clinician or APP","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2085","Clinician","ICE-initiated Audible Alarm Inactivation"," "
"UC2086","Clinician","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2087","Patient","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2088","Clinician","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2089","ICE app","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2090","Clinician","Patient-Requested Bolus"," "
"UC2091","Clinician or APP","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2092","Clinician","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2093","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2094","Patient","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2095","Clinician","Resume Infusion"," "
"UC2096","ICE app","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2097","Clinician","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2098","Clinician or APP","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2099","Clinician","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2100","Clinician","Clinician-Requested Bolus"," "
"UC2101","Patient","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2102","Clinician","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2103","ICE app","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2104","Clinician","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2105","Clinician or APP","Flush Pump"," "
"UC2106","Clinician","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2107","Clinician","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2108","Patient","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2109","Clinician","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2110","ICE app","ICE-Dectected Hazard"," "
"UC2111","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2112","Clinician or APP","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2113","Clinician","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2114","Clinician","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2115","Patient","Prime Pump"," "
"UC2116","Clinician","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2117","ICE app","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2118","Clinician","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2119","Clinician or APP","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2120","Clinician","Resume Operation After ICE-Dected Hazard"," "
"UC2121","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2122","Patient","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2123","Clinician","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2124","ICE app","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2125","Clinician","normal Operation"," "
"UC2126","Clinician or APP","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2127","Clinician","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2128","Clinician","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2129","Patient","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2130","Clinician","ICE-initiated Audible Alarm Inactivation"," "
"UC2131","ICE app","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2132","Clinician","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2133","Clinician or APP","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2134","Clinician","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2135","Clinician","Patient-Requested Bolus"," "
"UC2136","Patient","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2137","Clinician","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2138","ICE app","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2139","Clinician","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2140","Clinician or APP","Resume Infusion"," "
"UC2141","Clinician","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2142","Clinician","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2143","Patient","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2144","Clinician","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2145","ICE app","Clinician-Requested Bolus"," "
"UC2146","Clinician","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2147","Clinician or APP","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2148","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2149","Clinician","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2150","Patient","Flush Pump"," "
"UC2151","Clinician","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2152","ICE app","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2153","Clinician","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2154","Clinician or APP","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2155","Clinician","ICE-Dectected Hazard"," "
"UC2156","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2157","Patient","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2158","Clinician","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2159","ICE app","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2160","Clinician","Prime Pump"," "
"UC2161","Clinician or APP","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2162","Clinician","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2163","Clinician","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2164","Patient","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2165","Clinician","Resume Operation After ICE-Dected Hazard"," "
"UC2166","ICE app","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2167","Clinician","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2168","Clinician or APP","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2169","Clinician","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2170","Clinician","normal Operation"," "
"UC2171","Patient","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2172","Clinician","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2173","ICE app","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2174","Clinician","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2175","Clinician or APP","ICE-initiated Audible Alarm Inactivation"," "
"UC2176","Clinician","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2177","Clinician","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2178","Patient","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2179","Clinician","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2180","ICE app","Patient-Requested Bolus"," "
"UC2181","Clinician","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2182","Clinician or APP","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2183","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2184","Clinician","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2185","Patient","Resume Infusion"," "
"UC2186","Clinician","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2187","ICE app","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2188","Clinician","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2189","Clinician or APP","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2190","Clinician","Clinician-Requested Bolus"," "
"UC2191","Clinician","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2192","Patient","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2193","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2194","ICE app","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2195","Clinician","Flush Pump"," "
"UC2196","Clinician or APP","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2197","Clinician","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2198","Clinician","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2199","Patient","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2200","Clinician","ICE-Dectected Hazard"," "
"UC2201","ICE app","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC2202","Clinician","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC2203","Clinician or APP","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC2204","Clinician","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC2205","Clinician","Prime Pump"," "
